year,admin,ba,cc,other,pregnancy,prior,shortben,ssbg,tax,work
1998,0.11128550228627451,0.5503880668346939,0.12007439170204082,0.110384576488,2.0244766862745095e-4,1.558284450980392e-4,0,0.042352824254,6.104644901960784e-5,0.07670506156122449
1999,0.10881027958823529,0.4517245355632653,0.16764200884375,0.105714903836,0.0058966718647058824,0.015090415543137255,0.0020775839725490197,0.05429528724,0.0032661361235294117,0.10001101109795918
2000,0.10205408762745098,0.3862012572862745,0.1911084291627451,0.09843948133,0.01369672594509804,0.028984004390196078,0.004984462701960784,0.05072626497843137,0.007523327266666667,0.11896636842941176
2001,0.09967902018039215,0.3548386247627451,0.1873492693764706,0.09866784036666666,0.025841676650980392,0.04265497846470588,0.00801167863137255,0.041331900107843135,0.011886449027450981,0.13776450118235295
2002,0.09404549445882353,0.34887475230784315,0.18360531435294117,0.103729277672,0.03150074853921569,0.040645665319607845,0.00876035898627451,0.03769476472156863,0.016562982238,0.13711995018039216
2003,0.08847900190392156,0.35199562218823527,0.1840663345764706,0.1074051463254902,0.03452269026,0.042968986736,0.008641468709803922,0.03710455828,0.018972093533333335,0.12876065679215687
2004,0.088329517994,0.35646571981960784,0.1824932167372549,0.11317701732799999,0.032328826702,0.04190989682156863,0.00837640908627451,0.03626911062745098,0.022214586545098038,0.12320249806078432
2005,0.08786810236,0.34640878028627453,0.18519070601568627,0.120464089126,0.032326356802040816,0.04287697405098039,0.009297447465306122,0.0370919542627451,0.02284264630392157,0.12168588948823529
2006,0.08821299699215686,0.3168340975745098,0.19327473551372548,0.12164015383921568,0.037477510014,0.04540521546078431,0.010430124233333333,0.03774757771960784,0.02603354779215686,0.12368122870392156
2007,0.08768870149215686,0.2801164672960784,0.19734990597843138,0.12960798327647058,0.050345062684,0.04773198901372549,0.01333806928627451,0.038647365738,0.031810766770588236,0.12516868396470587
2008,0.08549269150784314,0.25500048778235296,0.19447052224313727,0.14054809319411765,0.06122783623529412,0.051090302818,0.015677845856862747,0.036690789843137256,0.037885599368627454,0.12293537968431373
2009,0.08042036778627451,0.24968477229411765,0.17919087818039214,0.14733131360980392,0.0659223782882353,0.04870066630588235,0.023374578656,0.03436111493137255,0.044705162964705884,0.1267671467
2010,0.07434669716862745,0.2552014403176471,0.16847264666862746,0.15472370764509805,0.065974421662,0.0513273972372549,0.024888997494117646,0.03161015875490196,0.04854564715686274,0.1263682593745098
2011,0.07286961976862745,0.2556313970490196,0.163649182306,0.165634566452,0.066358152804,0.050447907088235294,0.025350364301960786,0.031271596278000004,0.053048008439215685,0.12488147707058823
2012,0.07501145568823529,0.2471632605862745,0.165930554106,0.175804778122,0.068977761012,0.05119233670588235,0.021766762248,0.032684955874,0.053377841450980394,0.11842250668235293
2013,0.07891059857254902,0.2361674300352941,0.16958917493265305,0.184250053886,0.071662926452,0.048449782117647056,0.02108511044117647,0.03445391026938775,0.054528677505882354,0.11542818617058824
