STATE,admin_1998,admin_1999,admin_2000,admin_2001,admin_2002,admin_2003,admin_2004,admin_2005,admin_2006,admin_2007,admin_2008,admin_2009,admin_2010,admin_2011,admin_2012,admin_2013,ba_1998,ba_1999,ba_2000,ba_2001,ba_2002,ba_2003,ba_2004,ba_2005,ba_2006,ba_2007,ba_2008,ba_2009,ba_2010,ba_2011,ba_2012,ba_2013,cc_1998,cc_1999,cc_2000,cc_2001,cc_2002,cc_2003,cc_2004,cc_2005,cc_2006,cc_2007,cc_2008,cc_2009,cc_2010,cc_2011,cc_2012,cc_2013,other_1998,other_1999,other_2000,other_2001,other_2002,other_2003,other_2004,other_2005,other_2006,other_2007,other_2008,other_2009,other_2010,other_2011,other_2012,other_2013,pregnancy_1998,pregnancy_1999,pregnancy_2000,pregnancy_2001,pregnancy_2002,pregnancy_2003,pregnancy_2004,pregnancy_2005,pregnancy_2006,pregnancy_2007,pregnancy_2008,pregnancy_2009,pregnancy_2010,pregnancy_2011,pregnancy_2012,pregnancy_2013,prior_1998,prior_1999,prior_2000,prior_2001,prior_2002,prior_2003,prior_2004,prior_2005,prior_2006,prior_2007,prior_2008,prior_2009,prior_2010,prior_2011,prior_2012,prior_2013,shortben_1998,shortben_1999,shortben_2000,shortben_2001,shortben_2002,shortben_2003,shortben_2004,shortben_2005,shortben_2006,shortben_2007,shortben_2008,shortben_2009,shortben_2010,shortben_2011,shortben_2012,shortben_2013,ssbg_1998,ssbg_1999,ssbg_2000,ssbg_2001,ssbg_2002,ssbg_2003,ssbg_2004,ssbg_2005,ssbg_2006,ssbg_2007,ssbg_2008,ssbg_2009,ssbg_2010,ssbg_2011,ssbg_2012,ssbg_2013,tax_1998,tax_1999,tax_2000,tax_2001,tax_2002,tax_2003,tax_2004,tax_2005,tax_2006,tax_2007,tax_2008,tax_2009,tax_2010,tax_2011,tax_2012,tax_2013,work_1998,work_1999,work_2000,work_2001,work_2002,work_2003,work_2004,work_2005,work_2006,work_2007,work_2008,work_2009,work_2010,work_2011,work_2012,work_2013
ALABAMA,0.1086311626,0.0928868541,0.0938864714,0.0939492926,0.0824873351,0.0759185607,0.0812082212,0.0948354832,0.097037918,0.0976481957,0.0956642164,0.0930812003,0.1015873183,0.1044600115,0.1250790511,0.1006880936,0.3871359802,0.299130754,0.2478261958,0.2311129626,0.2132000474,0.2433319791,0.2941014328,0.3090296506,0.2895601011,0.253759919,0.2508293117,0.2482103503,0.260905521,0.2694675669,0.2777783383,0.256455333,0.209744816,0.2619652976,0.2695751068,0.2498932127,0.2773461207,0.2381106645,0.1630895279,0.1000794143,0.1051310948,0.1278247246,0.1043544562,0.0723105086,0.0392225566,0.0342937256,0.03618595,0.0312609445,0.1351653471,0.1282869742,0.1109298844,0.1747613231,0.1882574138,0.2421023208,0.230824802,0.2493177213,0.2772257339,0.2838300631,0.3099051303,0.2929586841,0.2664257491,0.2335303046,0.2189570721,0.2757461788,-0,0.0022021518,0.0068694823,0.0188036318,0.0274804337,0.034116581,0.0267719792,0.0222380934,0.0137437521,0.0192434676,0.0203402937,0.022087006,0.0169209027,0.0151258138,0.0139504523,0.0122856608,-0,-0,0.0387510957,0.0060144065,0.0060144065,-0.0327366892,-0,-0,-0,-0,-0,-0,0.0094343559,0.0094343559,0.0094343559,-0,-0,-0,-0,-0,-0,-0,-0,2.227696e-4,3.433792e-4,3.433792e-4,1.206097e-4,0.0515289516,0.089482903,0.1347973218,0.1290414569,0.1409460954,0.0686700068,0.1001560104,0.1041481584,0.0863702386,0.0722208452,0.0659451013,0.0669784237,0.0771728267,0.0717424594,0.0668084803,0.061070183,0.0592598354,0.0542517564,0.0373353698,0.0298189689,0.0310996438,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0906526873,0.115371958,0.1280136052,0.1390949322,0.1329933976,0.1332114817,0.1370256133,0.1471040409,0.1452155614,0.1505417704,0.157715799,0.1605634638,0.161768937,0.1615555301,0.1597543546,0.15151805
ALASKA,0.0648011857,0.0796853529,0.0799318346,0.0801400713,0.0727348422,0.0638958377,0.0619150277,0.0665763955,0.0796771139,0.0816078353,0.0792117207,0.0632575761,0.0661397083,0.062906473,0.0633905479,0.0559232153,0.6826142826,0.5751632087,0.4999366138,0.4938456034,0.4855675982,0.4725262833,0.45497095,0.4406579603,0.4228329156,0.4148559887,0.3986389487,0.4386257053,0.4659581873,0.5027767088,0.4731387133,0.4590631209,0.1123919273,0.182328769,0.2373295753,0.209640962,0.2173219496,0.2458291073,0.2793443586,0.2991572857,0.2928822794,0.298335105,0.3206132405,0.2941024346,0.2504281195,0.2158264185,0.2501756171,0.2832228982,0.0305044171,0.0191040676,0.0285307843,0.0418132082,0.0411720439,0.0308096974,0.0172894582,0.005420526,0.0061975847,0.0048140299,0.0014568314,-0,-0,-0,-0,-0,-0,0.0028098129,0.0049437154,0.0072679811,0.0056110535,0.0034783705,0.0034920466,0.0048223586,0.0066528632,0.0057824281,0.0046095518,0.003910044,0.0040396798,0.004164187,0.0044181094,0.004263893,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,8.235709e-4,0.0019414134,0.0041182511,0.0105811413,0.0128732434,0.0141717157,0.0108280987,0.0111838982,0.0112943784,0.00987123,0.0074949007,0.0054579579,0.0031274776,0.0017454715,1.966242e-4,0.0249762124,0.0442054537,0.0492534333,0.0479689504,0.0413966325,0.0384715594,0.0360909338,0.0392707271,0.0453421683,0.0555062169,0.0593450639,0.063695756,0.0628026842,0.0607722676,0.0566964756,0.0478257014,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.084711975,0.0958797643,0.0981326298,0.1152049724,0.1256147387,0.1321159009,0.1327255094,0.133266648,0.1352311767,0.1278040177,0.1262534131,0.1289135833,0.1451736629,0.1504264674,0.1504350652,0.149504547
ARIZONA,0.1069125967,0.1202195749,0.103706252,0.1019572788,0.0902880023,0.0989625026,0.1042788531,0.1068080633,0.10656730440000001,0.1075901834,0.1086673649,0.1192159398,0.1182187219,0.1204424567,0.1166855206,0.1099195992,0.5163973023,0.3978245543,0.3267518213,0.3379616981,0.3925681466,0.4760872912,0.5119641135,0.4892779885,0.4296893181,0.3731475233,0.3477447127,0.3155404339,0.2828590555,0.2180443559,0.1050011247,0.0583492473,0.0892815132,0.1654524677,0.2057894429,0.195906909,0.1469126119,0.1045473342,0.0597246404,0.0543032171,0.1049914955,0.1344943502,0.147741237,0.0983951479,0.0818018965,0.0341566102,0.0310084528,0.0199410794,0.188955125,0.1478206966,0.1198351197,0.1031814655,0.1105063758,0.107941302,0.1048925989,0.1117034633,0.1115250487,0.130982704,0.156596118,0.2117525807,0.2803737449,0.3982586482,0.5468612301,0.6059784431,0,0.0014226015,0.0045727735,0.0045827828,0.0035405461,7.854336e-4,7.98712e-4,4.18522e-4,0.0010933293,0.0019816892,0.0023278119,0.0012579452,3.462976e-4,0,0,0,0,0.0063769035,0.0395195944,0.0631241151,0.0821243318,0.0765103134,0.0882835957,0.103142961,0.1179070774,0.1339351647,0.1349011027,0.1256496951,0.0864587146,0.0527461652,0.0319351847,0.040043889,0,0,0,0,0,0,0,0.0026567788,0.0031962259,0.005140593,0.0049941167,0.0355456565,0.0656023389,0.0906642671,0.0864310347,0.0821950835,0.0643188653,0.0898035328,0.0871625917,0.0744736911,0.0697832259,0.0667097734,0.0676824366,0.0696007521,0.0682741644,0.0646235306,0.0601579522,0.0585330459,0.0572363728,0.0582759974,0.0558054514,0.0556137155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341345975,0.0710796688,0.1126624045,0.1188120597,0.1042767595,0.0684560495,0.0623750499,0.0620882538,0.0567560363,0.0481042618,0.0368695838,0.0341095549,0.0271028574,0.0274114993,0.0262720009,0.0279589432
ARKANSAS,0.0831021735,0.1044264311,0.1111806938,0.1579741982,0.1536102641,0.1406035594,0.1086925658,0.1110668092,0.1178871071,0.1127815617,0.1006232456,0.0875731021,0.083148517,0.0683716562,0.0711701397,0.0785466483,0.516519926,0.3943856655,0.3291243579,0.2907434498,0.3369994107,0.3518643329,0.2954036358,0.237127624,0.1914604779,0.1392617631,0.114752778,0.0906082636,0.0902816541,0.0789951051,0.0839119747,0.0821618344,0.0407841796,0.0704257114,0.1062180742,0.093899544,0.0909661901,0.126899521,0.2365026327,0.3091994989,0.3567540613,0.2917121341,0.2121371844,0.1050111884,0.0743720691,0.0581358994,0.0403565162,0.0396079839,0.1339444407,0.1268703628,0.0943196667,0.0764936173,0.0700807067,0.0728722593,0.0712044637,0.0666486531,0.0594268119,0.047855841,0.0360251546,0.0206736719,0.0244290828,0.0291475558,0.0293974248,0.0029861026,-0,0.0084174501999999991,0.0160968316,0.0266918736,0.0309486935,0.0336633096,0.0340521947,0.0329259005,0.0290185579,0.1918916062,0.3224893226,0.4539355543,0.487472264,0.5278722072,0.5745663816,0.5880097641,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0186440154,0.0186440154,0.0186440154,0.014619558,0.0330151071,-0,-0,-0,-0,-0,-0,4.601665e-4,0.0015432087,0.0019763578,0.0012164034,1.333612e-4,0.0024380719,0.0025526689,0.0025526689,-1.851909e-4,1.159716e-4,-0,0.0137952484,0.0218574871,0.0218574871,0.0080622387,0.0147586238,0.0253389654,0.0182662099,0.0035075861,-0.0028780117,0.0041947437,0.0041947437,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.2256492801,0.2816791305,0.3212028887,0.33233983,0.3093324962,0.2593383941,0.2283453755,0.2232220958,0.23996904,0.2181587023,0.2096442098,0.2169213885,0.2190997288,0.2162808921,0.1861631958,0.1755565882
CALIFORNIA,0.0584494863,0.0703141145,0.08003071,0.091396971,0.0940016013,0.0952485243,0.0888095309,0.0902582013,0.0878862506,0.0898625859,0.0885020425,0.087863839,0.08428294,0.0839260799,0.0829618352,0.0838521579,0.7077685646,0.6003527024,0.5393252477,0.4748815157,0.4602910683,0.472751894,0.5089774168,0.5261909732,0.510867069,0.4831640316,0.4760683881,0.4973519245,0.5199793199,0.5189524827,0.4985553104,0.4747290354,0.0646413352,0.127721981,0.1629816156,0.1949570094,0.1907078203,0.1921084426,0.1774828869,0.1617161069,0.1559235114,0.1555831918,0.1555377676,0.1453769702,0.1333161402,0.1246872667,0.1243630623,0.1201807852,0.1253336474,0.1052113532,0.0875665663,0.0575225054,0.0730800491,0.0647501179,0.0716258647,0.0663499848,0.0573800482,0.0592242197,0.0576828629,0.0548716552,0.0532915285,0.0520723402,0.052993688,0.0527802751,-0,6.86803e-5,7.950807e-4,0.0017908864,0.0022071812,0.0026790437,0.0028280864,0.003080421,0.0334150901,0.047867921,0.0540304717,0.0239887851,0.0099431485,0.0143258142,0.04855595,0.0728049982,-0,0.0203477788,0.0422811709,0.068247724,0.0621117878,0.0585003356,0.0421248321,0.0392739761,0.0275060119,0.0257552734,0.0228554237,0.0264082273,0.0289834265,0.0316238225,0.0327371449,0.0341840869,-0,3.50441e-5,8.27339e-5,1.471685e-4,1.974451e-4,2.262515e-4,2.671865e-4,2.954407e-4,2.977981e-4,2.634764e-4,1.835852e-4,0.0041004329,0.0039975373,0.004000639,4.294235e-4,4.851343e-4,0.0096805343,0.0096805343,9.871823e-4,0.0049322527,0.00911002,0.0125527969,0.0152587517,0.0203101042,0.0324592587,0.0431327366,0.0507381441,0.0502344825,0.0490874084,0.051138381,0.0523389483,0.0542376514,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0341264322,0.0662678115,0.0859496926,0.1061239668,0.1082930268,0.1011825933,0.092625444,0.0925247918,0.0942649621,0.0951465636,0.0944013142,0.1098036833,0.1171185507,0.1192731738,0.1070646374,0.1067458757
COLORADO,0.0713387151,0.0775626455,0.0852319182,0.0839841083,0.1139865998,0.1054677876,0.1122319946,0.0842973518,0.0798781126,0.0726768809,0.0592351283,0.054071664,0.0521066252,0.0650542328,0.0685775448,0.0690674112,0.3903952393,0.2926883888,0.2334478922,0.2056494469,0.2033528402,0.2092363707,0.2555469233,0.2825787823,0.2727999562,0.2162038643,0.1735089855,0.1695492475,0.1935220657,0.2360389787,0.2389017236,0.2469423706,0.1402248777,0.1285212558,0.1590029772,0.1487773568,0.126812109,0.1153543903,0.0735692772,0.0631969375,0.0231151286,0.0528037106,0.0617898081,0.0695786826,0.0436482776,-0.0223233766,-0.0269886376,-0.0364274391,0.3280219776,0.4043097245,0.3929320229,0.4196760527,0.348727811,0.3643428166,0.3785827338,0.4435335511,0.4938073529,0.5258249138,0.5752843815,0.6031642917,0.6163569217,0.6554805947,0.6575154482,0.6770835052,-0,-0,-0,3.03623e-5,4.874921e-4,7.761283e-4,8.906936e-4,5.616462e-4,0.0070303572,0.0129319223,0.0160676172,0.0099574183,0.0044036764,0.0016364633,0.001408517,0.0013276035,-0,8.124136e-4,0.0070288926,0.0118803357,0.0131240184,0.0085762393,0.005139221,0.0049047187,0.0053536787,0.0059241087,0.0085449883,0.0073817864,0.0056748852,0.0014007588,7.589034e-4,9.858745e-4,-0,0.0074189737,0.0184609121,0.03145851,0.032354158,0.0269635741,0.0184095548,0.0145794028,0.0155542204,0.0194108254,0.0240733146,0.0224824912,0.0180268577,0.0145345472,0.0144902188,0.0154042513,0.0438788017,0.0553852789,0.0688429584,0.048825988,0.0555626587,0.0576944747,0.0593600042,0.0617539215,0.0620857627,0.0586462293,0.0500743388,0.0337093678,0.0312687856,0.0069081083,0.0045283012,-0.0111405993,-0,-0,-0,0.02136309,0.0786990224,0.0871283125,0.0730406289,0.0221397866,0.0203095367,0.0180318088,0.0150636272,0.0120190123,0.0103902019,0.0111178404,0.0106829943,0.0102861584,0.0261403886,0.0333013191,0.0350524265,0.0283547493,0.0268932905,0.024459906,0.0232289687,0.0224539014,0.020065894,0.0175457359,0.0163578105,0.0180860382,0.0246017029,0.0301518525,0.0301249863,0.0264708637
CONNECTICUT,0.0889463542,0.0775344698,0.0831268768,0.0740994869,0.0615684578,0.0551545609,0.0561639205,0.0642265177,0.067616125,0.0697382936,0.0704846483,0.0656481703,0.064770672,0.0615752849,0.0626629556,0.0669000525,0.5926688627,0.466124801,0.3846956463,0.3270236949,0.3000525605,0.2765802172,0.2707926846,0.2609779006,0.2394976018,0.2171912312,0.1927141154,0.1818100602,0.176618523,0.1723608085,0.1694723285,0.1665837027,0.2066844769,0.2451452416,0.243657331,0.1997697476,0.1406753078,0.0772878407,0.0448598435,0.0332470195,0.0479305093,0.0735409544,0.0760786233,0.0736270782,0.0637325068,0.0698794631,0.0727181719,0.0750299846,0.0463217199,0.1044911324,0.141363584,0.1962516065,0.2232808739,0.269564994,0.2814323481,0.3033943704,0.3204201656,0.3252549734,0.3529800006,0.3524150674,0.3691159787,0.3712200618,0.3868887681,0.3859415477,-0,8.998925e-4,0.0171634818,0.0441456184,0.0932703479,0.1275898156,0.1514886696,0.1546554709,0.1602415231,0.1614314329,0.1622109765,0.1667357305,0.1676435245,0.1720799232,0.1752251184,0.1744515273,-0,0.0089544604,0.0237051351,0.0354105795,0.0395304164,0.0366215464,0.037213138,0.035579393,0.0376057391,0.0380296562,0.0414619512,0.0375654239,0.0358030393,0.0311883232,0.0315227612,0.0319677069,-0,8.1845e-5,1.086733e-4,1.290072e-4,6.2701e-5,5.05535e-5,4.30704e-5,3.73527e-5,3.40372e-5,2.76299e-5,2.21345e-5,0.0104152608,0.0139422534,0.014517501,0.0041130093,5.924572e-4,0.0391509662,0.0522152272,0.0557369044,0.057122328,0.0581278181,0.0571568259,0.0562441944,0.0553690457,0.0531817643,0.051863553,0.0517177341,0.0515154431,0.0519782415,0.0523546363,0.0538045264,0.0541239811,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0262276203,0.04455293,0.0504423671,0.0660479309,0.0834315164,0.0999936459,0.1017621309,0.0925129297,0.0734725345,0.0629222753,0.0523298161,0.0602677656,0.0563952607,0.0548239979,0.0435923606,0.04440904
DELAWARE,0.1565958478,0.16348755710000001,0.1607158676,0.1147335564,0.0917582614,0.0739636414,0.0780632631,0.0791925916,0.0784497245,0.0633750334,0.0767489746,0.0917358221,0.104855225,0.0952171343,0.0591644246,0.0483382934,0.4189649833,0.3790865535,0.3603054032,0.3378154192,0.3416029836,0.3378631401,0.3350554127,0.2987785084,0.2556174081,0.2051852239,0.2251013157,0.2000051607,0.2582860789,0.2338178925,0.2403888726,0.1911125605,0.2213601334,0.2669722118,0.2753643391,0.3244833416,0.3264598045,0.3768959797,0.3675055118,0.3900511471,0.4186928893,0.4235146837,0.4429348202,0.4094137519,0.424523657,0.43054167249999997,0.528855101,0.5922805246,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0038616523,0.0521800826,0.10145824,0.1319246099,0.1210949387,0.0949402624,-0,-0,9.87039e-5,9.87039e-5,9.87039e-5,-0,-0,0.0025860368,0.0049433291,0.0237929522,0.0212070275,0.0201789028,0.0095720809,0.0095719688,0.0082428012,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,3.857e-6,6.183e-6,9.7485e-6,5.8915e-6,3.5655e-6,-0,-0,-0,-0,-0,-0,-0,0.0113236867,0.0246235297,0.0711543358,0.0691034427,0.0768240279,0.0357929406,0.0356088799,0.0247645028,0.0288121684,0.0180190837,0.0180190837,0.024959701,0.0320917267,0.0396346019,0.0336754552,0.0400200747,0.0440750648,0.037774566,0.0375465631,0.0408269556,0.040451125,0.0126179277,-0.0022603301,-0.014584555,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.1850599518,0.1724345939,0.1785559852,0.1907772522,0.2004456447,0.1776017836,0.1793557377,0.1739929647,0.1798985533,0.1754312078,0.1202158114,0.1092072699,0.0528876669,0.0655684237,0.0320680226,0.0445126253
DIST.OF COLUMBIA,0.087950891,0.0961853429,0.0955800529,0.0975104943,0.0871130535,0.0869616269,0.0871327381,0.0860463922,0.0956859841,0.104757113,0.0999792243,0.0720972833,0.0454198379,0.0367366746,0.0344667715,0.0350407901,0.6127459837,0.499497239,0.4139377821,0.3446027648,0.3338602683,0.3370675215,0.3646608611,0.3413216908,0.256016721,0.1755010875,0.12249162,0.1556927188,0.2006400807,0.2260977823,0.2342141586,0.2219878528,0.1706662419,0.2270157047,0.3005761497,0.3199513582,0.3305106233,0.3280996684,0.3231570181,0.3409224528,0.3603010775,0.3684646437,0.3965982707,0.3609435689,0.3332422469,0.2876107011,0.2969664072,0.2785534298,0.0321098691,0.0332516398,0.0135421739,0.021503199,0.0419264921,0.052208978,0.0641335541,0.065026093,0.0751921611,0.0863677895,0.0993245743,0.1207960698,0.1169621861,0.1427070929,0.1404900133,0.1870025842,-0,0.0218442701,0.0431493814,0.0686423487,0.0500260665,0.0394238002,0.0191814701,0.0370699358,0.05424093,0.0728051108,0.0742555174,0.0624752088,0.0536899218,0.0417901572,0.0288006869,0.0155786081,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.020304008,0.020304008,0.020304008,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.0296111217,0.0526485575,0.0616207395,0.05283795,0.0516145738,0.0190817706,0.0357709511,0.04268159,0.029264709400000002,0.019524331,0.0194284209,0.0210633162,0.0202840428,0.021104212599999998,0.0217671287,0.0230415764,0.0205482383,0.0177546759,0.0178359015,0.0178650057,0.0176567401,-0,-0,-0,-0,-0,-0,-0,-0,0.0276155546,0.0597197966,0.06710488,0.0681428061,0.0557664242,0.0770603068,0.0681125185,0.0735928802,0.0774452437,0.0864348523,0.0905328701,0.1185251255,0.1370391652,0.1368099841,0.1206710423,0.1093293928,0.1098433591,0.1106173302,0.1172043369,0.1096929843,0.10357206100000001,0.0882366361,0.1059424804,0.1189725411
FLORIDA,0.0650777522,0.0859609975,0.0840939826,0.0825778456,0.0665440621,0.0654735263,0.0682995977,0.0741083244,0.0542874667,0.0387818469,0.0278738302,0.0381116691,0.0352964559,0.0339337625,0.0322501153,0.0349280576,0.4961371682,0.3409417628,0.2607452139,0.2292645037,0.2291516733,0.2289462338,0.2148044719,0.1903590486,0.1652484792,0.1536959501,0.1544400118,0.1619061004,0.1716594733,0.1719116908,0.172281494,0.1710033968,0.1619312727,0.2456322774,0.3019063617,0.3238713218,0.3410445426,0.3367499946,0.3408393519,0.3505452807,0.3617728221,0.3590618548,0.3538527272,0.3462883011,0.3520012081,0.3455770712,0.3468457227,0.341061877,0.1002019014,0.0646097862,0.0833476568,0.131327599,0.1786306178,0.1959044921,0.2121805919,0.2149137433,0.2399473723,0.2603167782,0.2891500214,0.2874762135,0.2913095937,0.3016404303,0.3152686942,0.3298220767,-0,0.0127149157,0.0213637517,0.0262812531,0.0172117419,0.0105101126,0.0091612327,0.0078223883,0.0240320337,0.0419408957,0.0418116149,0.0251299302,0.0050412932,0.0045875169,0.0048485409,0.0058818749,-0,-0,0.0027558344,0.0027558344,0.0027558344,0.0035487058,0.0073446393,0.0115276789,0.007072301,0.0032763675,-9.066721e-4,-0,-0,-0,-0,-0,-0,0.0031023777,0.0040166297,0.0042885271,0.0017675737,0.001394394,0.0017416514,0.0021601687,0.0024388715,0.0023916911,0.0018388911,0.0014450018,0.0026015837,0.0024245633,0.0021649301,6.740196e-4,0.0670555299,0.0880264103,0.0741750692,0.0493759099,0.0453743196,0.0541489508,0.056228215,0.0601583708,0.0609825429,0.0595909702,0.0586371439,0.0573840881,0.058887444,0.058083012,0.0575443891,0.0564805681,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0.1095963756,0.1590114723,0.1675954999,0.1502572054,0.1175196345,0.10332359,0.0894002482,0.0884049964,0.0842181106,0.0809436455,0.0733024316,0.0822586957,0.0832029483,0.0818419529,0.0687961137,0.0601481293
