STATE,admin_1998,admin_1999,admin_2000,admin_2001,admin_2002,admin_2003,admin_2004,admin_2005,admin_2006,admin_2007,admin_2008,admin_2009,admin_2010,admin_2011,admin_2012,admin_2013,ba_1998,ba_1999,ba_2000,ba_2001,ba_2002,ba_2003,ba_2004,ba_2005,ba_2006,ba_2007,ba_2008,ba_2009,ba_2010,ba_2011,ba_2012,ba_2013,cc_1998,cc_1999,cc_2000,cc_2001,cc_2002,cc_2003,cc_2004,cc_2005,cc_2006,cc_2007,cc_2008,cc_2009,cc_2010,cc_2011,cc_2012,cc_2013,other_1998,other_1999,other_2000,other_2001,other_2002,other_2003,other_2004,other_2005,other_2006,other_2007,other_2008,other_2009,other_2010,other_2011,other_2012,other_2013,pregnancy_1998,pregnancy_1999,pregnancy_2000,pregnancy_2001,pregnancy_2002,pregnancy_2003,pregnancy_2004,pregnancy_2005,pregnancy_2006,pregnancy_2007,pregnancy_2008,pregnancy_2009,pregnancy_2010,pregnancy_2011,pregnancy_2012,pregnancy_2013,prior_1998,prior_1999,prior_2000,prior_2001,prior_2002,prior_2003,prior_2004,prior_2005,prior_2006,prior_2007,prior_2008,prior_2009,prior_2010,prior_2011,prior_2012,prior_2013,shortben_1998,shortben_1999,shortben_2000,shortben_2001,shortben_2002,shortben_2003,shortben_2004,shortben_2005,shortben_2006,shortben_2007,shortben_2008,shortben_2009,shortben_2010,shortben_2011,shortben_2012,shortben_2013,ssbg_1998,ssbg_1999,ssbg_2000,ssbg_2001,ssbg_2002,ssbg_2003,ssbg_2004,ssbg_2005,ssbg_2006,ssbg_2007,ssbg_2008,ssbg_2009,ssbg_2010,ssbg_2011,ssbg_2012,ssbg_2013,tax_1998,tax_1999,tax_2000,tax_2001,tax_2002,tax_2003,tax_2004,tax_2005,tax_2006,tax_2007,tax_2008,tax_2009,tax_2010,tax_2011,tax_2012,tax_2013,work_1998,work_1999,work_2000,work_2001,work_2002,work_2003,work_2004,work_2005,work_2006,work_2007,work_2008,work_2009,work_2010,work_2011,work_2012,work_2013
ALABAMA,0.098907658,0.0737330991,0.1060198053,0.1019065099,0.0739215627,0.0716339328,0.0822001868,0.089790544,0.1125157189,0.0888074911,0.091621377,0.1065637811,0.0810584428,0.117139731,0.1151818605,0.1429155617,0.3733909833,0.2415089901,0.2824922886,0.2194773088,0.1913692903,0.2287535431,0.3098731038,0.3436776514,0.2735381967,0.2514644551,0.2362771053,0.2647463746,0.2436075709,0.2743626176,0.2904325123,0.2685398851,0.2024624198,0.3592805222,0.2241529506,0.2252918475,0.3002348399,0.3065116746,0.1075854791,0.0751714299,0.1174813338,0.1227405208,0.1432523192,0.0470705285,0.0266086781,0.0439884632,0.0322840356,0.0322853511,0.1360458748,0.1033191921,0.1454958555,0.0839746055,0.2948135083,0.1859841277,0.2455093265,0.2609809519,0.2414628855,0.3292333643,0.2807939394,0.3196880872,0.2783940256,0.2011951345,0.2210017537,0.2346743282,0,0,0.0066064554,0.0140019914,0.0358024485,0.0326368611,0.0339104335,0.0137686429,0.0190352038,0.0084274097,0.0302677894,0.022325682,0.0136675464,0.0147694795,0.0169404153,0.010141462,0,0,0,0.1162532872,NA,0,0,0,0,0,0,0,0,0.0283030677,0,0,0,0,0,0,0,0,0,0,6.683087e-4,3.61829e-4,0,0,0.1545868548,0.1138618542,0.1359432564,0.13731926,0.0803813042,0.1256287162,0.0944580109,0.0923577481,0.0722949566,0.0520098309,0.0735305163,0.0753949239,0.0825930398,0.0572394144,0.0605929867,0.065378148,0.0518083717,0.0455687495,0.0146289883,0.0292591688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1088117598,0.0965294803,0.1407746338,0.1467367016,0.1297734613,0.1224700298,0.1473909539,0.141215856,0.1527053128,0.1417255155,0.157194483,0.1742273986,0.1502685097,0.1608109028,0.1735871778,0.1448649831
ALASKA,0.0849846366,0.0680212946,0.0860501274,0.0857240819,0.0686460047,0.0638344399,0.0592070686,0.0627035745,0.0778185434,0.0985092238,0.0684957386,0.0706301997,0.05064679,0.0771421352,0.0609304937,0.0520990148,0.720558755,0.5153427507,0.4895881204,0.4948789702,0.4970697196,0.4647541049,0.4557550255,0.4444037195,0.4218151359,0.4022798912,0.4204729388,0.3731640159,0.5222401612,0.5024703848,0.4836195804,0.4333261746,0.0520787695,0.2850970123,0.2098105254,0.2170811883,0.2020311722,0.2328534884,0.3026026614,0.3025769261,0.2922922696,0.2837776426,0.3189354027,0.3591266762,0.2042452248,0.1879124575,0.2553215732,0.3072928206,0.0048462075,0.0048641104,0.0476018849,0.0331263576,0.0447113822,0.045678392,0.0020393181,0.0041506645,0.0100715956,0.0043704941,0,0,0,0,0,0,0,0,0.0084294386,0.0064017075,0.0069727973,0.0034586556,3.6587e-6,0.0070138256,0.0074495915,0.0054951724,0.0044025204,0.0039309625,0.0033966491,0.0047914279,0.0043044841,0.0041584161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024707128,0.0033535275,0.0065305131,0.0218593834,0.0102298338,0.0104259299,0.0118285325,0.0112972322,0.0107573705,0.0075590873,0.0041682444,0.0046465419000000004,5.676466e-4,2.2226e-5,0.0304282228,0.0445004143,0.0576877239,0.0455721618,0.0406469656,0.0379707702,0.0367969422,0.0335050891,0.0475101501,0.0550112658,0.0639972349,0.0590266909,0.0680633421,0.0613180197,0.052935441,0.0558359661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1071034087,0.0821744176,0.0983614667,0.1138620052,0.1333914452,0.1295907657,0.1333654918,0.1352202708,0.1312141813,0.1392590779,0.1129387941,0.1265623675,0.1472395884,0.1617190329,0.142320781,0.1472653818
ARIZONA,0.120978485,0.1089609737,0.1307192659,0.0714385165,0.1037140539,0.0957114364,0.0974620175,0.1196631053,0.1032990672,0.0967397408,0.1227317422,0.1065306119,0.1283854653,0.1197400886,0.1132018161,0.1171146572,0.5196627905,0.3564199254,0.3173909469,0.3064445917,0.3900495556,0.4812102924,0.5570020255,0.4976800224,0.4131519175,0.3782360143,0.3280546379,0.3369434858,0.281623178,0.2300105027,0.1424993871,NA,0.0381801169,0.1949707125,0.2632065736,0.1591910426,0.1653231107,0.1162236825,0.0320952096,0.030855029,0.0999594129,0.1841600447,0.1193635929,0.1397000734,0.0361217775,0.0695838385,NA,0.0266773053,0.2008166175,0.1646499901,0.0779954821,0.116859887,0.1146890273,0.0999702132,0.1091646657,0.1055429178,0.1204028065,0.1086294218,0.1639158836,0.1972430485,0.2740988101,0.369779376,0.5508977585,0.7199065558,0,0,0.0042678046,0.0094505158,3.00281e-5,0.0011410945,0.0011851781,6.98635e-5,5.243e-7,0.0032096001,0.0027349431,0.0010388927,0,0,0,0,0,0,0.0191307106,0.0994280726,0.070813562,0.0761313607,0.0825860176,0.1061334089,0.1207094564,0.126878367,0.1542176706,0.1236072705,0.0991241442,0.036644729,0.0224696224,0.0366912026,0,0,0,0,0,0,0,0,0.0079703365,0.0016183411,0.0058331015,0.0075309076,0.0932729604,0.0960031487,0.0827166922,0.0805732633,0.0861552602,0.1068013357,0.0764540024,0.0782324369,0.0687346339,0.0623826069,0.0690120793,0.0716526236,0.0681375535,0.0650323161,0.0607007221,0.0547408185,0.0601575971,0.0568107029,0.0578596922,0.0527459592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342067299,0.0681970627,0.11083521389999999,0.1589549368,0.0866460284,0.0672293134,0.0514928068,0.0684030295,0.0663689252,0.0354961541,0.0424477062,0.0326648911,0.0272160675,0.0214276136,0.0335908167,0.0237975724
ARKANSAS,0.1181537312,0.0565311239,0.1385944382,0.1384165191,0.1969116373,0.1255026358,0.099396405,0.1011786566,0.1326253659,0.1198572988,0.0858620203,0.0961504177,0.0807068685,0.0725882647,0.0518198355,0.0891023188,0.4300589481,0.5261617774,0.2269362708,0.2342750256,0.411019053,0.3657041535,0.2788697921,0.2416369617,0.1908761181,0.1418683539,0.0850408174,0.1173491628,0.0694348107,0.0840609887,0.0834895158,0.0841854196,0.0718717475,0,0.1394053867,0.179248836,NA,0.13060532490000001,0.2870488287,0.2918537444,0.3486959236,0.4297125159,0.0967279627,0.1099710746,0.1083345279,0.0048106047,0.0612625657,0.0549963783,0.1569974022,0.1255175993,0.0980960869,0.0593453137,0.0720394511,0.0788573552,0.0677199715,0.0670360643,0.0651899236,0.0460544479,0.0323231514,0.0296978644,0,0.043589384,0.0438532833,7.496072e-4,0,0,0.0252523507,0.0230381441,0.0317851261,0.0380228105,0.0311819922,0.0329517814,0.0346439278,0.0194599644,0.5215709263,0.4264370771,0.4137986596,0.6221810555,0.5476369065,0.553881183,0,0,0,0,0,0,0,0,0,0,0,0,0.0559320462,0,0,0.0438586739,0,0,0,0,0,0,0,0.0013804995,0.0032491265,0.0012994473,NA,0,0.0082135794,NA,0,0,0,0,0.0413857452,0.0241867161,0,0,0.0442758715,0.0317410246,NA,0,0.0125842311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222918171,0.2917894993,0.3303297213,0.3414894454,0.3252003232,0.2613077201,0.191507139,0.2322212676,0.2459378808,0.2417479717,0.1667902543,0.2203944035,0.2635795078,0.173325275,0.2119378933,0.1732264192
CALIFORNIA,0.058183154,0.0719889104,0.080770279,0.0873329406,0.1060876934,0.0885841698,0.0910737098,0.0867707133,0.092930181,0.0839578575,0.0926997193,0.0888485507,0.0820432471,0.0819570222,0.0877779705,0.0791505129,0.6476778201,0.6301206444,0.5232596427,0.4645954561,0.4367894485,0.4794883003,0.5019779332,0.5454660168,0.5311289694,0.4560062207,0.4623569048,0.5098420388,0.5198568299,0.5302390909,0.5067615272,0.4586653132,0.0583644383,0.1164044193,0.2083970852,0.1641433423,0.2123306009,0.1956495178,0.1683452092,0.1684539335,0.1483491781,0.1509674227,0.1674329745,0.1482129057,0.1204850303,0.1312504845,0.1223262852,0.1195124171,0.1610012151,0.124838499,0.0297943456,0.1080668545,0.0347063162,0.0764669766,0.083077061,0.0553335564,0.060639337,0.0561672511,0.0608660711,0.0560152663,0.0477336283,0.056125691,0.0523577015,0.0504976715,0,0,2.060409e-4,0.0021792013,0.002987417,0.0014549255,0.0035947886,0.0034345452,0.0022119291,0.094598796,0.0467930379,0.0206995813,0.0044737362,0.0046561281,0.0338475783,0.1071641436,0,0,0.0610433364,0.0658001764,0.0778996593,0.0426355277,0.0549658198,0.0287731489,0.0340829595,0.0196619274,0.0235209334,0.0253834103,0.0303203382,0.031246531,0.0333045983,0.0336603053,0,0,1.051322e-4,1.430694e-4,1.933039e-4,2.559621e-4,2.294886e-4,3.161087e-4,3.407249e-4,2.365607e-4,2.131436e-4,1.010513e-4,0.0119871036,NA,1.103564e-4,0.0012734573,0.0290416028,0,0,0.0029615469,0.0118352113,0.012533302,0.0132898776,0.0199530756,0.0276873595,0.0497373409,0.0519735093,0.050503582,0.0482263562,0.048532287,0.0566565,0.051828058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457317696,0.0566475269,0.0964241381,0.1047774127,0.1171703495,0.1029313182,0.0834461122,0.0914989016,0.1026293616,0.088666623,0.0941437061,0.1003936135,0.1348737302,0.1160883085,0.1068574827,0.0982481212
COLORADO,0.0862330587,0.0744288141,0.0720260638,0.1092408767,0.0706853845,0.1620335381,0.0836844402,0.0909780055,0.0782296098,0.0704267225,0.0693743106,0.037904352,0.0549363294,0.0634791943,0.0767471747,0.0655062654,0.4165694701,0.2690748608,0.1924208354,0.2388479803,0.1856795249,0.1855310153,0.2564985718,0.3246111829,0.2666265924,0.2271620933,0.1548229073,0.1385419558,0.2152828793,0.2267413621,0.2660926946,0.223871114,0.0575996957,0.1759144076,0.1520496642,0.1490448597,0.1452375464,0.0861539208,0.1146717037,0.0198822071,0.0550369018,NA,0.1089479529,0.0819951944,0.0177929005,0.031156738,NA,0.0037971174,0.3998595339,0.3173655346,0.4957041051,0.3657264288,0.3975976241,0.2828593802,0.4125714455,0.4403173756,0.47771183230000003,0.5633928509,0.5363700581,0.6260902356,0.6470325814,0.5759479479,0.7434612549,0.6531371418,0,0,0,0,9.10869e-5,0.0013713892,8.659087e-4,4.347828e-4,3.842471e-4,0.0202720418,0.018139478,0.0097913317,0.001941445,0.0014782525,0.0014896923,0.0012576062,0,0,0.0024372407,0.0186494371,0.0145543292,0.0061682888,0.0050060998,0.0042432743,0.005464782,0.0063529797,0.0059545645,0.0133274207,0.002863374,8.338611e-4,5.050414e-4,9.378079e-4,0,0,0.022256921,0.0331258154,0.0389927937,0.0249438648,0.0169540638,0.0133307358,0.0134534088,0.0198785167,0.0249005506,0.0274408765,0.0151060466,0.01153365,0.016963945,0.0149730614,0.0119350342,0.119701371,0.0345194317,0.0523080726,0.0596504598,0.0547294437,0.0587035204,0.0646470486,0.0619111954,0.0596990442,0.0543284483,0.0361955238,0.0106041314,0.0470067017,NA,0.0034647102,0,0,0,0,0.0640892701,0.1720077972,0.0252878702,0.0218262193,0.0193052703,0.0197971205,0.0149930357,0.0104007255,0.0106632758,0.0101066043,0.0125836409,0.0093587376,0.0278032074,0.0435150119,0.0285857382,0.0330565294,0.0234219804,0.0242013618,0.0257563759,0.0197291683,0.0218761601,0.0185923534,0.0121686941,0.018312384,0.0237770366,0.0317156881,0.0349628327,0.0236964381
CONNECTICUT,0.0638732938,0.0843294158,0.0844006999,0.0806505149,0.0572472458,0.0468076128,0.061408824,0.0602753248,0.0709954042,0.0715776461,0.0666418305,0.0732344684,0.057068212,0.0640093357,0.063648307,0.060331224,0.5881146292,0.4493841763,0.3608755974,0.3438271651,0.2763683221,0.2799621944,0.2734101351,0.2590057242,0.2505178424,0.2089692389,0.1920866125,0.1770864949,0.1762570732,0.176512001,0.1643133513,0.1675916332,0.2226163202,0.2542378676,0.2585815371,0.2181525883,0.1225751175,0.0812982176,0.027990187,0.0252911258,0.0464597458,0.0720406564,0.1021224611,0.0540727523,0.0646860211,0.072438747,0.0725136211,0.0732021475,0.0323151668,0.1239550077,0.1572032228,0.1429325216,0.2886190752,0.238291025,0.2817848818,0.3242211376,0.3041770917,0.3328622675,0.338725561,0.3873521733,0.331167468,0.3888282946,0.3936644228,0.3781735867,0,0,0.0026996776,0.048790768,0.0809464096,0.1500738662,0.1517491709,0.1526429716,0.1595742701,0.1685073276,0.1562127011,0.1619129009,0.1820815895,0.1589360831,0.1752220969,0.1915171751,0,0,0.0268633812,0.0442520243,0.0351163331,0.039222892,0.0355254142,0.0368911078,0.0343216569,0.0416044527,0.038162859,0.0446185419,0.0299148707,0.032875705400000003,0.0307743935,0.0309181847,0,0,2.45535e-4,8.0485e-5,6.10017e-5,4.66165e-5,4.40424e-5,3.85525e-5,2.94632e-5,3.4096e-5,1.93305e-5,1.29769e-5,0.0312134751,0.0106003082,0.0017387198,0,0.0501498762,0.0535364024,0.0529594031,0.0607149076,0.0576926734,0.0559758732,0.0578019309,0.054954779,0.0533504272,0.0512400867,0.0510001452,0.0529129704,0.0506332138,0.0523885403,0.0540421549,0.054982884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429307139,0.0345571301,0.056170946,0.0605990252,0.0813738216,0.1083217023,0.1102854137,0.0866792768,0.0805740986,0.0531642281,0.0550284991,0.048796721,0.0769780766,0.0434109846,0.0440829326,0.0432831647
DELAWARE,0.1249770569,0.22261264,0.1428729743,0.1166619886,0.0846657063,0.0739470893,0.0632781286,0.0969645714,0.0773350748,0.0610495274,0.0517404982,0.1174568983,0.1060100698,0.091098707,0.0885426261,NA,0.4079040385,0.4009567869,0.3283988351,0.3515605874,0.3334868349,0.3397615284,0.3403410571,0.3250636525,0.2309308157,0.210857756,0.1737670999,0.2906790912,0.1355692911,0.3486098545,0.2172745318,0.1552822315,0.2304288055,0.2080002772,0.3624875527,0.2556051875,0.3553572845,0.3684169414,0.4069137131,0.3271858809,0.4360538472,0.4928389398,0.3416512642,0.4943142565,0.3922757351,0.3869809793,0.5123683032,0.6872160207,0,0,0,0,0,0,0,0,0,0,0,0.0115849569,0.14495529099999999,0.1478344721,0.1029840666,0.1124662774,0,0,0,2.961118e-4,0,0,0,0,0.0077581104,0.0070718771,0.0565488693,3.361e-7,0.003987503,0.0247284035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15709e-5,6.9782e-6,1.06964e-5,0,0,0,0,0,0,0,0,0,0.0339710601,0.0398995289,0.1395924185,0.0278183807,0.0630612846,0.0164991567,0.0272661984,0.0305281532,0.0540572511,0,0,0.0748791029,0.0213960773,0.0226286256,0.0570016629,0.0404299357,0.0347935957,0.0381001665,0.039745927,0.0446347734,0.0369726747,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1826328481,0.1684302959,0.1662406379,0.2009970218,0.205094097,0.1952458153,0.1324654384,0.2103559594,0.1791574962,0.1501822044,0.1969539229,0.013511307,0.1171565798,0.0279951137,0.0515535775,0.0166553767
DIST.OF COLUMBIA,0.0930024817,0.0772399517,0.1183135954,0.0911866117,0.0830312758,0.087121273,0.0907323319,0.0835446094,0.0838622352,0.1196511076,0.1107579962,0.069528569,0.0360052846,0.03072566,0.0434790791,0.0291955754,0.611663076,0.4967449041,0.3900837368,0.3549847054,0.2887398523,0.3578562472,0.364606465,0.3715198709,0.2878387363,0.1086915557,0.1299729705,0.1288103339,0.2082948521,0.2648150562,0.2051834386,0.2326439809,0.1085056805,0.281230698,0.2913107357,0.3291870154,0.3393563237,0.322988531,0.3219541507,0.3245283727,0.3762848349,0.3800900249,0.3490190713,0.4606857159,0.2731259195,0.2659151053,0.3237910785,0.3011930378,0.0788670102,0.0113494797,0.0095384296,0.0197386123,0.0352325551,0.0708083089,0.0505860699,0.0710062836,0.0734859254,0.0810842744,0.1045331687,0.1123562799,0.1454987609,0.0930315175,0.1895910003,0.138847522,0,0,0.0655328103,0.0639153337,0.0764789021,0.0096839637,0.0321085348,0.0157519119,0.0633493606,0.0836215176,0.0714444542,0.0677005804,0.0482805918,0.0450885932,0.0320012866,0.0093121811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609120241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888333651,0.0691123073,0.026916546,0.0624849966,0,0.0572453119,0.0500675416,0.0207319165,0.0169946701,0.0208464063,0.0204441862,0.021899356,0.0185085861,0.0229046957,0.0238881044,0.0223319293,0.0154246813,0.0155074173,0.022575606,0.0155119939,0,0,0,0,0,0,0,0,0,0.0828466638,0.096312726,0.0221552502,0.085960442,0.0591835804,0.086036898,0.059117077,0.1079617516,0.0761896547,0.0751531506,0.120255805,0.1601664209,0.1306952699,0.1195682615,0.1117495955,0.0966703215,0.1211101605,0.1140715088,0.1164313415,0.0985761026,0.0957087388,0.070425067,0.1516936353
FLORIDA,0.0730026933,0.0843373762,0.100542923,0.0674016487,0.079788965,0.0524415727,0.0641900411,0.0882671793,0.0698677529,0.0047274681,0.0417503197,0.0371437029,0.0354409848,0.0333046798,0.0330556229,0.0303900433,0.4667056519,0.3117655402,0.2443540962,0.2261160053,0.2173234097,0.2440156049,0.2254996868,0.174898124,0.1706793351,0.1501679785,0.1402405367,0.1729115203,0.1725662442,0.1695006554,0.1736681729,0.1736756537,0.1728054783,0.2682810183,0.2958103357,0.3416277311,0.3341758985,0.3473299981,0.328744087,0.3464439707,0.3764477844,0.3624267112,0.3383110689,0.3608204017,0.3397334327,0.35544979,0.3415479911,0.3435393871,0.1079020304,0.0299649989,0.0559623295,0.1641156422,0.1739048254,0.1978713859,0.215937265,0.2227331248,0.20607084,0.2910381522,0.2838413425,0.2925705695,0.2860167286,0.2953414829,0.3235630793,0.3269015205,0,0,0.038144747,0.025946508,0.0147525042,0.0109362135,0.0058416202,0.0107058645,0.0069196801,0.0544705564,0.0644324506,0.0065318377,0.0044255024,0.0041665394,0.0051705088,0.0052085746,0,0,0,0.0082675033,0,0,0.0106461174,0.0113878004,0.0125491189,NA,0,0,0,0,0,0,0,0,0.0093071332,0.0027427561,8.156921e-4,0.001744273,0.001623217,0.0018574641,0.0029998249,0.0024593254,0.0017159228,0.0013414251,0.0012776576,0.0051856682,8.103641e-4,4.987578e-4,0.0738751973,0.1272913923,0.0629126414,0.032321174,0.0528939142,0.0509078706,0.0586450676,0.0591317069,0.0626983379,0.061117584,0.0549569888,0.059836858800000003,0.0573584167,0.0594670566,0.0574235628,0.0557425478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1057089487,0.1783596742,0.192965794,0.1314610314,0.1263447908,0.0947530814,0.088872898,0.0845747654,0.0917673257,0.0763122407,0.0747513701,0.068843684,0.103181033,0.0775841278,0.064760698,0.0640435152
