STATE,admin_1998,admin_1999,admin_2000,admin_2001,admin_2002,admin_2003,admin_2004,admin_2005,admin_2006,admin_2007,admin_2008,admin_2009,admin_2010,admin_2011,admin_2012,admin_2013,ba_1998,ba_1999,ba_2000,ba_2001,ba_2002,ba_2003,ba_2004,ba_2005,ba_2006,ba_2007,ba_2008,ba_2009,ba_2010,ba_2011,ba_2012,ba_2013,cc_1998,cc_1999,cc_2000,cc_2001,cc_2002,cc_2003,cc_2004,cc_2005,cc_2006,cc_2007,cc_2008,cc_2009,cc_2010,cc_2011,cc_2012,cc_2013,other_1998,other_1999,other_2000,other_2001,other_2002,other_2003,other_2004,other_2005,other_2006,other_2007,other_2008,other_2009,other_2010,other_2011,other_2012,other_2013,pregnancy_1998,pregnancy_1999,pregnancy_2000,pregnancy_2001,pregnancy_2002,pregnancy_2003,pregnancy_2004,pregnancy_2005,pregnancy_2006,pregnancy_2007,pregnancy_2008,pregnancy_2009,pregnancy_2010,pregnancy_2011,pregnancy_2012,pregnancy_2013,prior_1998,prior_1999,prior_2000,prior_2001,prior_2002,prior_2003,prior_2004,prior_2005,prior_2006,prior_2007,prior_2008,prior_2009,prior_2010,prior_2011,prior_2012,prior_2013,shortben_1998,shortben_1999,shortben_2000,shortben_2001,shortben_2002,shortben_2003,shortben_2004,shortben_2005,shortben_2006,shortben_2007,shortben_2008,shortben_2009,shortben_2010,shortben_2011,shortben_2012,shortben_2013,ssbg_1998,ssbg_1999,ssbg_2000,ssbg_2001,ssbg_2002,ssbg_2003,ssbg_2004,ssbg_2005,ssbg_2006,ssbg_2007,ssbg_2008,ssbg_2009,ssbg_2010,ssbg_2011,ssbg_2012,ssbg_2013,tax_1998,tax_1999,tax_2000,tax_2001,tax_2002,tax_2003,tax_2004,tax_2005,tax_2006,tax_2007,tax_2008,tax_2009,tax_2010,tax_2011,tax_2012,tax_2013,work_1998,work_1999,work_2000,work_2001,work_2002,work_2003,work_2004,work_2005,work_2006,work_2007,work_2008,work_2009,work_2010,work_2011,work_2012,work_2013
ALABAMA,0.1069779488,0.0778586741,0.104083549,0.0944579511,0.0813671405,0.064530788,0.0891865515,0.0930767026,0.1128677893,0.0844449055,0.0947987148,0.1025700371,0.0932844932,0.1000774743,0.1309798045,0.1022307518,0.3788590674,0.2499318923,0.276337751,0.2321255662,0.2151040979,0.2047133279,0.3186795294,0.3065788133,0.3370902765,0.2214115467,0.2492811927,0.2756988339,0.2404103067,0.258735936,0.2915998783,0.2638338384,0.2453384877,0.230746466,0.3076619975,0.2597839181,0.2834562949,0.2131589401,0.2021100828,0.098603867,0.1255285797,0.1131608154,0.1056031242,0.0784046148,0.0356166614,0.033096988,0.0384020989,0.0322853511,0.1359727986,0.1076372441,0.1227031337,0.1873012504,0.1946927874,0.2044349055,0.2510989388,0.2466894255,0.3337352008,0.2539424742,0.3085353705,0.3246561411,0.2427102966,0.2261208156,0.2290921479,0.2887729124,0,0.0017794029,0.0074682636,0.0207457868,0.0286477014,0.0291566818,0.03083575,0.022272315,0.0154047744,0.0167373199,0.0199601906,0.0240770521,0.0152590067,0.0144954509,0.0146945516,0.0126285206,0,0,0.0437225528,0,0,NA,0,0,0,0,0,0,0.009209626,0.0094343559,0.0108605531,0,0,0,0,0,0,0,0,2.042253e-4,3.968021e-4,2.749956e-4,1.27676e-4,0.0650255166,0.0885788257,0.1301040669,0.1347771134,0.1461907609,0.0826324554,0.0874118426,0.118046663,0.0872174932,0.0704572263,0.0554537567,0.0726099023,0.0761005521,0.0824756891,0.0572394144,0.0605929905,0.0653781355,0.0493666827,0.0371164179,0.0321147899,0.0328317524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971002621,0.0972943012,0.1419331159,0.1417067117,0.1325004088,0.1129293049,0.1508601494,0.1453112795,0.1704151218,0.1320164068,0.156232951,0.1778209927,0.1484379827,0.1551793626,0.1678556806,0.1562909538
ALASKA,0.0586321444,0.0726798362,0.0798462215,0.0843930153,0.0703478209,0.0621239863,0.064222285,0.0653840933,0.0836244074,0.0766082034,0.0863027684,0.0598035191,0.0709081106,0.0628695504,0.0628656821,0.0545100158,0.5124478123,0.5232429424,0.5036578859,0.520517644,0.4709959527,0.4586228998,0.4718793299,0.435454748,0.4434817034,0.3854531207,0.4296686848,0.4095214608,0.4933586822,0.4998692445,0.4710826684,0.4475796533,0.129513461,0.1731419665,0.240990948,0.22081588,0.2106916225,0.2355184437,0.2870895507,0.295428374,0.3071859098,0.2766701691,0.3448473268,0.279200028,0.2699210741,0.2158452848,0.2515127478,0.2767042099,0.0105341903,0.0173744169,0.0277615077,0.0443224259,0.0400768242,0.0311057599,0.0193105377,0.0052136729,0.0064056274,0.0045818739,0.0016948015,0,0,0,0,0,0,0.0025471929,0.0047627467,0.0076903663,0.0054435561,0.0035370235,0.0035841904,0.004655298,0.0069576104,0.0054046555,0.0050048933,0.0036827519,0.004316652,0.0041655212,0.0043988852,0.0041592792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.465956e-4,0.0018466132,0.0043463046,0.0103285174,0.0125221549,0.015062201,0.0106583615,0.0117143768,0.0105182367,0.0106712168,0.007093974,0.0058843342,0.0030467652,0.001668675,1.887362e-4,0.0276486899,0.0408597847,0.0494945193,0.0506952657,0.040094468,0.0373533593,0.0374978364,0.0385488659,0.0475101501,0.0514157583,0.0637839108,0.0596930647,0.0667144221,0.0602170211,0.0564884313,0.046730938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735818123,0.0873651279,0.0977379949,0.1213425615,0.1220757214,0.1279456898,0.1373374623,0.1315695419,0.1419314592,0.1194934761,0.1369311065,0.1208357653,0.1542644873,0.1497110146,0.1498864399,0.1458821087
ARIZONA,0.1182669501,0.1149779821,0.0991193465,0.111921283,0.0908378714,0.0926759469,0.1071218361,0.1085152002,0.1068755527,0.1087809957,0.1102943789,0.111519269,0.1225723763,0.116177727,0.1244218064,0.1045277381,0.5665819098,0.3712198192,0.3088459556,0.3675426066,0.3971728394,0.4460419581,0.5268966508,0.4971525619,0.4305876528,0.3742487191,0.3513684599,0.2968224925,0.2956058976,0.2118668291,0.1107332319,0.0522884344,0.1051670957,0.1675164864,0.1963311358,0.2142738081,0.1450522422,0.0986700081,0.0638802588,0.055565649,0.1076051187,0.1356601512,0.1486677118,0.0935841597,0.0869094738,0.0340102596,0.0341668996,0.019283885,0.2083389223,0.1367915642,0.1125485743,0.111184961,0.1096065328,0.100942804,0.1079815761,0.1136654957,0.1121678542,0.1328398554,0.1610934841,0.1983800692,0.2894534804,0.3798684754,0.5823292959,0.5784317889,0,0.0014940975,0.0041958966,0.0047772777,0.0032470215,7.447206e-4,8.409445e-4,4.259475e-4,0.0011436956,0.0020431855,0.0022959368,0.0011726562,3.8072e-4,0,0,0,0,0.006697389,0.0355545051,0.0667509259,0.0810749214,0.0716787514,0.090477686,0.1049418494,0.1188342634,0.1355695612,0.1364806831,0.1178530159,0.0908064336,0.0514032036,0.0343302311,0.0381207957,0,0,0,0,0,0,0,0.0027414178,0.003221984,0.0051506921,0.0052191133,0.032552687,0.0665124306,0.0875516543,0.0922030828,0.0780353174,0.0723615911,0.085791984,0.0823391995,0.080616117,0.0690363889,0.0623948575,0.0695743984,0.0707563842,0.0685718394,0.0649535085,0.0606711936,0.0548270642,0.0594410391,0.0561330367,0.059384829,0.0527459575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03927021,0.0708351775,0.1052356496,0.12721006,0.1008669673,0.0642102007,0.064468184,0.0631154219,0.0566170448,0.0480506272,0.0372455739,0.031965586,0.0283326055,0.0262193586,0.0277481899,0.0264214501
ARKANSAS,0.0563434392,0.3356235764,0.0823050442,0.1518582019,0.1811635884,0.1445278454,0.1176034467,0.1061577479,0.1336402211,0.1104319989,0.0859036699,0.1087678872,0.0657259246,0.0738533733,0.0698129322,0.0773541569,0.2901036729,0.8633664011,0.1653017729,0.2691256329,0.3808140147,0.3601199038,0.316625527,0.2205063695,0.2082772794,0.1309465303,0.0971962702,0.1093187542,0.0693158739,0.0828610738,0.0829915934,0.0827122927,0.0294908974,0.2850244322,0.088372539,0.118529105,0.1272349508,0.1264383477,0.2624142646,0.2944831944,0.4142961709,0.2690152882,0.1682321031,0.1326721161,0.0595898237,0.0656754004,0.0385836527,0.0418629815,0.0849040809,0.3185484933,0.0548949637,0.0809836225,0.0814331538,0.0743361858,0.077112238,0.0629084684,0.0650572127,0.0454357995,0.0306430139,0.0220507294,0.0176553043,0.0281893465,0.0303909836,0.0058557075,0,0.0423152273,0.0138032155,0.026113569,0.0352194287,0.034310394,0.0369568436,0.0312764344,0.0313282068,0.2551875305,0.3045805548,0.5660703879,0.3904514881,0.5498173141,0.5701271242,0.5867446857,0,0,0,0,0,0,0,0,0,0,0,0.0307975072,0.0186440154,0.0232276954,0.0131160231,0.031166622,0,0,0,0,0,0,5.832862e-4,0.0015942746,0.002142891,7.743599e-4,1.31547e-5,0.0041844878,0.0025892139,0.0032257789,NA,1.043182e-4,0,0.0693498691,0.0194495223,0.0277324189,0.0132803755,0.0147984994,0.0281697847,0.0148174853,0.0030311809,8.679993e-4,0.0041947437,0.0047308675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1374036671,0.8102908129,0.2092897763,0.3366392662,0.3781988103,0.2658440026,0.2488212969,0.2136130549,0.2713200499,0.2147708979,0.1789557284,0.2813003979,0.1787074667,0.233250547,0.1842776467,0.1789152317
CALIFORNIA,0.0559355795,0.0712651747,0.0777437545,0.0881326202,0.1004549098,0.0925311191,0.0880895148,0.0914545334,0.0901507494,0.0862427649,0.0885894598,0.0913646489,0.0794217361,0.0839662662,0.0874408599,0.0802562367,0.65126473519999994,0.6030807506,0.5222962499,0.463400987,0.4948671073,0.4618234059,0.5046084705,0.532910867,0.5226820967,0.4630387984,0.4763492647,0.518626029,0.4905582652,0.5204578535,0.5260249913,0.454430822,0.0647075195,0.1313393583,0.1590551106,0.1889037901,0.2037062479,0.1866411562,0.1760369462,0.1637714623,0.159914241,0.1496422423,0.1557770711,0.1507454967,0.1253460597,0.124912781,0.1313314767,0.1151576717,0.1200682179,0.1037927172,0.0840330988,0.0564892155,0.0800770106,0.0639700974,0.0711261044,0.0672805841,0.0589127112,0.0568590439,0.0577656893,0.0569588299,0.0501133339,0.0520631437,0.0559563562,0.0505578338,0,7.29885e-5,7.73358e-4,0.0016777085,0.0023456813,0.0026046287,0.0028037567,0.0031179452,0.0365824599,0.0474094105,0.0546936037,0.0244829248,0.0091781285,0.0135927065,0.0517095109,0.0707249253,0,0.021624166,0.0416252628,0.0658685466,0.0662551165,0.0564806025,0.0418591193,0.0398494796,0.0279811477,0.024515172,0.0228433576,0.0276239919,0.0273952474,0.0316167903,0.0345431697,0.0327658561,0,3.72423e-5,8.13077e-5,1.407885e-4,2.113222e-4,2.2143e-4,2.646991e-4,2.991648e-4,3.03711e-4,2.512628e-4,1.84893e-4,0.0045150718,0.0039968133,0.0043282136,4.627672e-4,4.811525e-4,0.0096805343,0.009312264,9.576611e-4,0.0044754896,0.0096130121,0.0122560421,0.0151091126,0.0205787473,0.034006095,0.0418508654,0.0508050834,0.0522740293,0.0462746504,0.0510339968,0.0551312755,0.051922773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348731751,0.0677040798,0.083790694,0.1025927473,0.1159355514,0.0981462514,0.0918468423,0.0937373433,0.0966573682,0.0912176794,0.0944469759,0.1151355878,0.1110279385,0.1202866319,0.1130174539,0.102180776
COLORADO,0.065526606,0.0729954325,0.0809660878,0.0912116454,0.1051537902,0.1044995147,0.1133658003,0.087656577,0.0768730731,0.0825428923,0.0583471213,0.0458832695,0.0546624802,0.0584228393,0.078982075,0.0650545582,0.298982283,0.266794328,0.2216815961,0.2247161675,0.1861545286,0.2058653226,0.2500895391,0.2930586346,0.2628983633,0.2417081745,0.1725813132,0.1477210643,0.2027878836,0.2127048341,0.2754330858,0.233041148,0.1118001146,0.1280310195,0.1514769426,0.1637300165,0.1164511802,0.1146573338,0.0750452685,0.0674433441,0.0231714745,0.0657288875,0.071970076,0.0593454215,0.0476496515,NA,NA,NA,0.2937760492,0.3871155869,0.3770863859,0.4626115873,0.3224089626,0.360208463,0.3719351856,0.4607241856,0.4716943341,0.5972892314,0.6065849374,0.5313310955,0.6517740458,0.5896571088,0.7555946465,0.6382129391,0,0,0,3.73378e-5,4.703112e-4,7.577741e-4,9.105628e-4,5.934973e-4,0.0063379392,0.014751387,0.0156788719,0.0082927673,0.004849232,0.0014956751,0.0016340511,0.0012497008,0,8.724526e-4,0.0065921055,0.0130563125,0.0118853707,0.0086527309,0.005158481,0.0051110396,0.0051091632,0.0067235909,0.0096434427,0.0067499745,0.0062643979,0.0013226126,9.004146e-4,9.599704e-4,0,0.0079672513,0.0176850749,0.0350052769,0.0299787898,0.0270885735,0.0186047713,0.0152435838,0.0147887713,0.0223980563,0.0258141025,0.0197202974,0.0193818972,0.013027896,0.0165727822,0.0145172262,0.0551733011,0.0553579394,0.0648720488,0.0542636369,0.0516195831,0.0571462712,0.0587035204,0.0641584762,0.0596220434,0.0663970495,0.0498051098,0.0285400094,0.0335135825,0.0095848696,0.0094147743,NA,0,0,0,0.0262710901,0.0765440968,0.0873919415,0.0765350837,0.0231252418,0.0194899277,0.0202548784,0.0147837603,0.0102957328,0.0109863107,0.010007704,0.0122725304,0.0096274005,0.0285375927,0.031960877,0.0332800297,0.0308685213,0.0245315392,0.0241835839,0.0232101267,0.0234727491,0.0193013146,0.0195851574,0.0171113384,0.0161074727,0.0258515623,0.027148101,0.0347582397,0.0246386886
CONNECTICUT,0.083961407,0.0793523151,0.08129373,0.0764363298,0.0607088035,0.053940044,0.0577138448,0.0637105115,0.0679637471,0.0695241106,0.0690629817,0.067337829,0.0630040067,0.0615855716,0.0629923495,0.0678889359,0.562912374,0.479767753,0.3762269721,0.3375671129,0.2972098052,0.2709596989,0.278309957,0.2582258101,0.2399484737,0.2161035226,0.189006072,0.1868568624,0.1721038693,0.1727216834,0.1703736931,0.1688925853,0.197976906,0.2512164057,0.2385087546,0.2060069759,0.1378867699,0.0757772383,0.0461806557,0.0331095896,0.0485206579,0.0738517409,0.0748843702,0.0758746492,0.0621468906,0.0698873577,0.0730628507,0.0760917375,0.0446441137,0.1062621853,0.1383002412,0.2037820374,0.2233454301,0.2637347671,0.2896227335,0.3008768359,0.3217384177,0.3247473353,0.3458049639,0.3616201039,0.359210278,0.3710317787,0.3888230305,0.3913428496,0,9.199653e-4,0.0164255352,0.0456018487,0.0939950626,0.1251888881,0.1557566773,0.1532703512,0.1609869165,0.1609995285,0.1589905692,0.1714214499,0.1635430877,0.172396841,0.1758051071,0.1767330113,0,0.0091541966,0.0230358357,0.0364493814,0.0391971603,0.0358991175,0.0382767478,0.0352340793,0.0377951865,0.0379719374,0.040610893,0.0384915106,0.0347950663,0.0312201295,0.0316923307,0.0324225454,0,8.36706e-5,1.07456e-4,1.339626e-4,6.18422e-5,4.94846e-5,4.42431e-5,3.68338e-5,3.4136e-5,2.74769e-5,2.17213e-5,0.0108839635,0.0138236761,0.0148604641,0.0042245402,6.028582e-4,0.0378003652,0.0535435569,0.0544292366,0.0589688052,0.0576926756,0.0559758732,0.0578019309,0.0547899148,0.0533504258,0.0517097026,0.0506941434,0.0529129697,0.050633215,0.0523885397,0.0540421549,0.0548683677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255825097,0.0457706064,0.0492744888,0.0683588024,0.0835334518,0.0980251148,0.1044369515,0.0912608347,0.0734460587,0.0625203951,0.0513413326,0.0621110465,0.0552096174,0.0552639172,0.0438022574,0.0450351855
DELAWARE,0.141734977,0.1602381473,0.1622025496,0.1156896812,0.09283251,0.0736840148,0.0773558872,0.0880705559,0.0670743437,0.0710499051,0.0663067738,0.1055256651,0.0942902433,0.1036549637,0.054285429,0.0554709135,0.3586925518,0.3700042417,0.3617025777,0.3394003587,0.3457140115,0.3372500834,0.3321993495,0.32578925,0.2171536704,0.2291422947,0.1964842001,0.2262904553,0.2291928419,0.2513119107,0.2186959268,0.2138596256,0.1910884915,0.2598869395,0.2754261213,0.3262890406,0.3303559374,0.3764799487,0.3644913204,0.4402751522,0.3650792427,0.4694816208,0.3880366701,0.4725157802,0.3799751928,0.473666635,0.4952575055,0.6554817715,0,0,0,0,0,0,0,0,0,0,0.0031112691,0.0653481726,0.0970934663,0.1422969537,0.1110339399,0.1033457546,0,0,9.60229e-5,9.87039e-5,1.000279e-4,0,0,0.0034556836,0.0045678455,0.0273330408,0.0208786898,0.0250873333,0.0089802937,0.0096747722,0.0069076377,0,0,0,0,0,0,0,0,0,0,0,0,4.9081e-6,6.016e-6,1.0736e-5,5.5148e-6,3.7748e-6,0,0,0,0,0,0,0,0.0151316787,0.0225050509,0.0808290954,0.0654492266,0.0937750763,0.0334122254,0.0389914305,0.0233093446,0.031984148,0.0180190837,0.0172961272,0.0242817513,0.0319973254,0.0401385149,0.03382464,0.0397684146,0.0481635966,0.0323601336,0.0418877643,0.0361670412,0.0470051509,0.0104786143,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1574024714,0.1681560141,0.1786601729,0.1914195125,0.2028034675,0.1768128073,0.1776374175,0.1945133312,0.1542787334,0.1973691798,0.1123683601,0.1356839931,0.0512531924,0.0719104459,0.0302486022,0.0515393163
DIST.OF COLUMBIA,0.0742260037,0.1006180635,0.0931534391,0.1025834628,0.0762680676,0.0935958977,0.0849393316,0.0940776127,0.0827114217,0.1104008876,0.1033066299,0.0750666449,0.0381968178,0.0322634339,0.043566506,0.0309635071,0.504298791,0.5101068811,0.3962969561,0.3624267987,0.2904897314,0.3603336198,0.3550232575,0.3701490186,0.2271085136,0.1983051789,0.127039171,0.1839622028,0.1868888176,0.2050566005,0.3097604756,0.2038040092,0.1552056232,0.2395119195,0.2917160254,0.3423317384,0.2908377021,0.3550198315,0.3146975005,0.3749376475,0.3156603693,0.3958180944,0.4127387553,0.3941337373,0.2852727634,0.2543071594,0.3830847929,0.2477532036,0.0312997675,0.032671899,0.0132413484,0.0240041255,0.0363794072,0.0550722329,0.0622820784,0.0713774564,0.065566198,0.0912106232,0.1030948268,0.1402445076,0.1052128345,0.1231809114,0.1756998307,0.1705074546,0,0.0249759029,0.0437112881,0.0736871076,0.0455890661,0.0453295262,0.0187944552,0.0422723575,0.0476426477,0.0772361209,0.0770248214,0.0681305699,0.0466298235,0.0385367236,0.037064537,0.0123174489,0,0,0,0,0,0,0,0,0,0,0,0,0.020195681,0.020304008,0.0295584543,0,0,0,0,0,0,0,0,0,0,0,0,0.0428711274,0.0525256469,0.0589704723,0.0728227604,0.0497297936,0.0198642477,0.0381635412,0.0404712629,0.030081604,0.0169946701,0.0207937719,0.020496199,0.022066501,0.0182784144,0.0230203583,0.0238881044,0.0223319293,0.0154246813,0.0155074173,0.022575606,0.0155119939,0,0,0,0,0,0,0,0,0.0219822736,0.0583981517,0.0688051697,0.0788825652,0.0533769706,0.0682349128,0.0860776336,0.0656856411,0.0708785633,0.0886086326,0.0884057134,0.1296219706,0.1217637719,0.1493865222,0.1176813873,0.1189425836,0.0951360192,0.1173097223,0.1216420794,0.1219302335,0.0913978104,0.0810630993,0.1435089398,0.1135276911
FLORIDA,0.0690652517,0.0845141497,0.0861504832,0.0795279125,0.0630617975,0.070101867,0.0674805938,0.0729610533,0.0561028865,0.0397547262,0.0267052631,0.0398578652,0.0340384077,0.034380603,0.0328977918,0.0347115756,0.5027389044,0.3240468626,0.2671210848,0.22231092,0.2145683145,0.2421288971,0.2116404782,0.1877463891,0.1700595619,0.1575018085,0.1446939353,0.1685424702,0.165479436,0.1739322811,0.1757191131,0.169836208,0.1756987132,0.2433168236,0.3152181611,0.3168467809,0.3199206161,0.3568160267,0.3360682919,0.3443164457,0.3718628961,0.368539567,0.3318666515,0.3611949357,0.3390660227,0.3495593623,0.3539008932,0.3387735168,0.0994867425,0.0606934849,0.0915373245,0.132168089,0.1671612048,0.2068571327,0.2093929666,0.2116035452,0.2469347007,0.2691910167,0.2714179031,0.299996952,0.2806616799,0.3045536757,0.3214390459,0.3276650471,0,0.013446876,0.0227444878,0.0248199843,0.0162654358,0.011297308,0.009011564,0.0077073364,0.0247168926,0.044290336,0.0398038578,0.027100751,0.0048578808,0.0046305919,0.0049400268,0.0058484766,0,0,0.0031957873,0.0027558344,0.0026027903,0.0036698109,0.0073133995,0.0113191717,0.0072778089,0.0031709045,NA,0,0,0,0,0,0,0.0032809725,0.0041625847,0.0038774212,0.0016424769,0.0014527102,0.0017173686,0.0021077763,0.0024974197,0.0024305979,0.0017197928,0.0015141923,0.0024670298,0.0024453235,0.002234301,6.685385e-4,0.0738907214,0.0858171234,0.0735853933,0.0475256433,0.0426067998,0.0574002381,0.0555060083,0.0591317075,0.0626983379,0.061117584,0.0549569888,0.059836858800000003,0.056730676,0.0587582991,0.0587118479,0.0560955033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1185351033,0.1578255571,0.1713549152,0.1438785892,0.1110486218,0.1105072285,0.0881259417,0.086910742,0.0865764518,0.082965603,0.0688668965,0.0859573373,0.0805164428,0.0835268302,0.0702546974,0.0597070159
