STATE,admin_1998,admin_1999,admin_2000,admin_2001,admin_2002,admin_2003,admin_2004,admin_2005,admin_2006,admin_2007,admin_2008,admin_2009,admin_2010,admin_2011,admin_2012,admin_2013,ba_1998,ba_1999,ba_2000,ba_2001,ba_2002,ba_2003,ba_2004,ba_2005,ba_2006,ba_2007,ba_2008,ba_2009,ba_2010,ba_2011,ba_2012,ba_2013,cc_1998,cc_1999,cc_2000,cc_2001,cc_2002,cc_2003,cc_2004,cc_2005,cc_2006,cc_2007,cc_2008,cc_2009,cc_2010,cc_2011,cc_2012,cc_2013,other_1998,other_1999,other_2000,other_2001,other_2002,other_2003,other_2004,other_2005,other_2006,other_2007,other_2008,other_2009,other_2010,other_2011,other_2012,other_2013,pregnancy_1998,pregnancy_1999,pregnancy_2000,pregnancy_2001,pregnancy_2002,pregnancy_2003,pregnancy_2004,pregnancy_2005,pregnancy_2006,pregnancy_2007,pregnancy_2008,pregnancy_2009,pregnancy_2010,pregnancy_2011,pregnancy_2012,pregnancy_2013,prior_1998,prior_1999,prior_2000,prior_2001,prior_2002,prior_2003,prior_2004,prior_2005,prior_2006,prior_2007,prior_2008,prior_2009,prior_2010,prior_2011,prior_2012,prior_2013,shortben_1998,shortben_1999,shortben_2000,shortben_2001,shortben_2002,shortben_2003,shortben_2004,shortben_2005,shortben_2006,shortben_2007,shortben_2008,shortben_2009,shortben_2010,shortben_2011,shortben_2012,shortben_2013,ssbg_1998,ssbg_1999,ssbg_2000,ssbg_2001,ssbg_2002,ssbg_2003,ssbg_2004,ssbg_2005,ssbg_2006,ssbg_2007,ssbg_2008,ssbg_2009,ssbg_2010,ssbg_2011,ssbg_2012,ssbg_2013,tax_1998,tax_1999,tax_2000,tax_2001,tax_2002,tax_2003,tax_2004,tax_2005,tax_2006,tax_2007,tax_2008,tax_2009,tax_2010,tax_2011,tax_2012,tax_2013,work_1998,work_1999,work_2000,work_2001,work_2002,work_2003,work_2004,work_2005,work_2006,work_2007,work_2008,work_2009,work_2010,work_2011,work_2012,work_2013
ALABAMA,0.1021873038,0.0913127041,0.0927696396,0.0923037047,0.0808637108,0.0753432896,0.0799606226,0.0941274301,0.0958200403,0.0960443903,0.0952624323,0.0921041236,0.1010804347,0.1037759594,0.1246979438,0.0987674856,0.3618931475,0.2931202872,0.2462997641,0.2268316162,0.2137732192,0.2390142139,0.2857136321,0.310039731,0.2861755693,0.2518249843,0.2505005768,0.2475674202,0.2605017992,0.2682978381,0.2776145938,0.2548959523,0.2343518346,0.2706196066,0.2742190567,0.2538591805,0.2817025116,0.2488749365,0.1812027461,0.0997169898,0.1065685226,0.1287047626,0.1061196926,0.0704044625,0.0385932056,0.0343201275,0.0365603139,0.0311916218,0.1298837175,0.1262370305,0.1093652705,0.183029582,0.1934881962,0.2386891402,0.2251239355,0.2494742617,0.2833272502,0.2888244111,0.3100446024,0.2915292827,0.2629940032,0.2344773861,0.2181047673,0.2789901665,0,0.0020868849,0.0066564614,0.02027265,0.0284704541,0.0340420502,0.0276459368,0.0225237434,0.0130780103,0.0190363844,0.0200578279,0.0216203079,0.0165342274,0.015031148,0.0139897931,0.0122007048,0,0,0.0389698997,0,0,-0.0325602345,0,0,0,0,0,0,0.0099792899,0.009783014,0.0103396753,0,0,0,0,0,0,0,0,2.065308e-4,3.368684e-4,3.127694e-4,1.283006e-4,0.0583905241,0.0959815068,0.1349122213,0.1283131318,0.1412382636,0.0789320408,0.1025166664,0.1052149594,0.0852283756,0.0700212977,0.06474535,0.0650987497,0.0769596386,0.0700184163,0.0651019102,0.0608893872,0.0587071628,0.0534923392,0.0384881004,0.0305745476,0.0317195127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927519558,0.1141068203,0.1265049485,0.1384748909,0.1316806105,0.1318512541,0.1352543771,0.1469516746,0.1446753226,0.1501503877,0.1569971803,0.1596767161,0.1608431939,0.1609142052,0.1598052334,0.1509962928
ALASKA,0.0721752435,0.0791755691,0.0793622359,0.0800598965,0.0725194534,0.0641293551,0.0619916163,0.0662511247,0.0797325618,0.0823615272,0.0799910944,0.0636322348,0.0665574022,0.0631395095,0.062997755,0.0558644528,0.6308151614,0.5700075826,0.5006049779,0.4937919153,0.4855355662,0.4734272945,0.45548928,0.4412291334,0.4228422471,0.4144008903,0.3982452585,0.4357396712,0.4630876769,0.5020156617,0.4720723541,0.4587008833,0.1594290244,0.1886164643,0.2395301882,0.2094781946,0.2171956587,0.2431210035,0.277117908,0.2993459275,0.2928896038,0.2974482712,0.319627233,0.2970748545,0.2533595286,0.2167721153,0.2520411446,0.2835796144,0.0129674218,0.0189272488,0.0275932321,0.0420467122,0.0413139931,0.032109857,0.0186398139,0.0052828092,0.0061075122,0.0049259755,0.0015708538,0,0,0,0,0,0,0.0027748473,0.0047338775,0.0072955081,0.0056115983,0.003651199,0.0034596987,0.0047170299,0.0066338061,0.0058105485,0.004638865,0.0039185275,0.0040517952,0.0041834078,0.0044081267,0.0042626268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.133223e-4,0.00183542,0.0041231457,0.0106473581,0.0129263714,0.0145390371,0.0107996977,0.0111691946,0.0113081629,0.0098907872,0.0075481414,0.0055232892,0.0030598479,0.0016721806,1.934258e-4,0.0340351004,0.0445116125,0.0491945097,0.0480923416,0.0413321815,0.0385591296,0.036195403,0.0390600465,0.0452990472,0.0552771137,0.0591191328,0.0635147089,0.0626210257,0.0604755904,0.0566071064,0.0478920844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905780485,0.0951733532,0.0971455588,0.1151122859,0.1258441908,0.1320757899,0.1325672431,0.1333142311,0.1353260274,0.1284675106,0.1269167752,0.1285718617,0.1447992822,0.1503538673,0.1502013325,0.1495069126
ARIZONA,0.1065480805,0.1203548973,0.1049803732,0.1032220355,0.0911208211,0.0988691873,0.1038765725,0.1067138777,0.1062777398,0.1079929393,0.1088427932,0.1188047316,0.1178564158,0.1206125862,0.1167931613,0.1100459519,0.5104402787,0.3885798169,0.3271083275,0.338974813,0.3984099881,0.4758495308,0.5109342798,0.4888999658,0.4281791427,0.3715375,0.346744095,0.3162136631,0.284232489,0.2199544339,0.1039438712,0.0550488382,0.0947462683,0.175350351,0.2079403932,0.1976190589,0.1455040636,0.1052638125,0.0619450018,0.0546432745,0.1070032249,0.1346773706,0.1467110941,0.0996979363,0.0835656401,0.0353085352,0.0320720325,0.0203019172,0.1876949753,0.1431885859,0.1192036847,0.1025429452,0.1099479449,0.1076884922,0.1047102667,0.1117786796,0.1115404386,0.1318775062,0.1589733306,0.2113400768,0.2783167854,0.3943692169,0.5466250761,0.6089682797,0,0.0015639686,0.0044440042,0.0044059567,0.0032571356,7.94488e-4,8.154681e-4,4.188769e-4,0.0011372983,0.0020283838,0.0022657199,0.0012492648,3.660719e-4,0,0,0,0,0.0070105906,0.0376568787,0.0615626113,0.0813274607,0.0764688156,0.0877366582,0.1031998435,0.118169559,0.1345874368,0.1346844591,0.125552257,0.0873126647,0.053365421,0.0322253497,0.0401332635,0,0,0,0,0,0,0,0.002695911,0.0032039617,0.0051133782,0.0051504244,0.0346793274,0.0639533712,0.0908937687,0.0865498568,0.0821549471,0.065191405,0.0898040237,0.0872079992,0.0743501099,0.0692514295,0.0665645084,0.0674666371,0.0695818477,0.0681882799,0.0644829573,0.0598726993,0.0584088715,0.0571540508,0.0582758064,0.055743780800000003,0.0555305147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353789922,0.074147766,0.1114583394,0.1173224696,0.1011811566,0.0685011652,0.0625151159,0.0620677232,0.056300355,0.0477025277,0.0367553844,0.0340538716,0.0272425112,0.0272202317,0.0260468716,0.0278162876
ARKANSAS,0.0941810928,0.1231863678,0.1299382015,0.1502086382,0.1513045037,0.1416418671,0.1080629287,0.1122938155,0.1183606628,0.1074836781,0.0987717255,0.0863310421,0.0818831881,0.0696663866,0.0705821524,0.0769910674,0.4849239117,0.3168876637,0.2609683925,0.2662022487,0.318048875,0.3529289142,0.2909394469,0.2332519489,0.1844642028,0.1274505112,0.111755916,0.0867682751,0.086355647,0.0781634114,0.0839060202,0.0823240528,0.0492956231,0.1046145951,0.1395171935,0.1172415795,0.1062642955,0.1239135862,0.2411260448,0.3115047387,0.3669282272,0.2618331004,0.1934326569,0.1053042614,0.0742386627,0.0619520495,0.0390087792,0.0416664825,0.1419217434,0.1169191755,0.0866648323,0.0801039358,0.0680114753,0.072851817,0.070856548,0.0665446667,0.0576189919,0.0442227516,0.0352332253,0.0175020633,0.02199547,0.0265912012,0.0307258407,0.0058282217,0,0.0155312663,0.0217916777,0.0258299097,0.0294146204,0.033625273,0.033958739,0.0330842564,0.0277463423,0.248374517,0.3502056081,0.4493003193,0.4864353425,0.5186463914,0.5764089593,0.5839905883,0,0,0,0,0,0,0,0,0,0,0,0.0244445393,0.0232272338,0.0219108422,0.0132605394,0.0310203302,0,0,0,0,0,0,5.359674e-4,0.0016864259,0.0018978868,7.53686e-4,1.51252e-5,0.0033213037,0.0032257148,0.0030428991,-2.003655e-4,1.038285e-4,0,0.025453988,0.0307057237,0.0274311747,0.0110915258,0.0145029982,0.0258845257,0.0156739569,0.0026846153,8.448254e-4,0.004823101,0.0037549752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229677629,0.2974069437,0.3304139788,0.3329825134,0.3158647043,0.2605355443,0.2286357995,0.225960191,0.2402990709,0.2090369303,0.205762642,0.2232732206,0.2226387412,0.2200268187,0.1863080742,0.1780754287
CALIFORNIA,0.0597264303,0.0706835381,0.080118755,0.0907011037,0.0935799677,0.094935383,0.0888227855,0.0902808706,0.0877643849,0.0897401877,0.0884607142,0.0877050159,0.0841945417,0.0837770655,0.08283382,0.0837329942,0.6954020705,0.5981586577,0.5382519222,0.4769060638,0.4609993481,0.4738231024,0.5088089089,0.526071866,0.5088462713,0.4818165182,0.4756569942,0.4978523386,0.5200380948,0.5192851086,0.4983100519,0.4741170894,0.0690928597,0.1302674214,0.1639140986,0.1944090874,0.1897649815,0.1914907095,0.1775023048,0.1616697352,0.1556811795,0.1557107188,0.1555506829,0.1447073495,0.1328786623,0.1246313157,0.1244119502,0.1201463842,0.1282054483,0.1029456044,0.086600233,0.0581355029,0.074596693,0.0656322516,0.071718169,0.0664171527,0.0573532432,0.0591648619,0.0576817393,0.0546773303,0.0531248672,0.0519458301,0.053008156,0.0527480353,0,7.23928e-5,7.969834e-4,0.0017266026,0.0021851473,0.0026723056,0.0028270956,0.0030779317,0.0356140921,0.0493320153,0.0546141184,0.0235022553,0.0097296831,0.0135620781,0.0489850663,0.0737887795,0,0.0214476786,0.0428968764,0.0677881795,0.0617207429,0.057948155,0.0422075611,0.0393380795,0.0272404637,0.0255093414,0.0228101597,0.0265175063,0.0290415497,0.0315455483,0.0327231766,0.0341852964,0,3.69384e-5,8.37916e-5,1.448915e-4,1.968597e-4,2.271835e-4,2.669025e-4,2.953256e-4,2.956715e-4,2.614524e-4,1.846243e-4,0.0043342195,0.0042369996,0.0043184608,4.383851e-4,5.019964e-4,0.0103366008,0.0092362612,9.869167e-4,0.0046059206,0.0089551159,0.0125744945,0.0152348831,0.0203146542,0.0331059257,0.0435480532,0.0507312493,0.0501801805,0.0490555001,0.0509190022,0.0522265467,0.0541721045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372365904,0.0671515074,0.086350423,0.105582648,0.1080011438,0.1006964149,0.0926113895,0.0925343845,0.0940987681,0.0949168511,0.0943097177,0.1105238041,0.1177001015,0.1200155907,0.1070628473,0.1066073201
COLORADO,0.0767473848,0.0767488434,0.0849021274,0.082786347,0.1136554261,0.1055069468,0.1141007989,0.0842375979,0.080135685,0.0725728804,0.055978123,0.0524987946,0.0516794863,0.0642238949,0.0679762639,0.0686385592,0.3501800215,0.2805128401,0.2324582999,0.2039589413,0.2012050371,0.2078499762,0.2517109758,0.2816281021,0.2740561756,0.2125132517,0.1655742009,0.1690197298,0.1917215175,0.2338252142,0.2370526747,0.2458799056,0.1309447708,0.1346143494,0.158840757,0.1486061337,0.1258662048,0.1157626928,0.0755318188,0.064812767,0.0241549077,0.0577897692,0.0690479612,0.0679019418,0.0450493557,-0.0150571919,-0.0203595711,-0.0319900831,0.3440822721,0.4070209945,0.3954178501,0.419879756,0.3484755798,0.3636810683,0.3743465993,0.442753984,0.4917137697,0.5251451548,0.5819564957,0.6079392848,0.6162059927,0.6482067056,0.6503057955,0.673373516,0,0,0,3.38889e-5,5.083356e-4,7.650794e-4,9.164664e-4,5.703484e-4,0.0066069311,0.0129696285,0.0150422814,0.0094884321,0.0045846039,0.0016441872,0.0014063531,0.0013185496,0,9.17314e-4,0.0069125704,0.0118502896,0.0128462975,0.0087361479,0.0051919257,0.0049116873,0.0053260039,0.0059114764,0.0092519016,0.0077231969,0.0059225426,0.0014539405,7.749457e-4,0.0010128574,0,0.0083769258,0.0185448071,0.0317718093,0.0324025613,0.027349722,0.0187253939,0.0146490192,0.0154164295,0.0196926885,0.0247660034,0.0225636022,0.018324205,0.014321492,0.0142634366,0.0153170127,0.0646211795,0.0582044338,0.0680257018,0.0492512579,0.0557930028,0.0576971924,0.0590841203,0.0616560229,0.0621524949,0.0583772267,0.0477829326,0.0326549548,0.0316847081,0.0105365926,0.0081028662,-0.0097042019,0,0,0,0.0238444069,0.082732652,0.0882344473,0.0770312932,0.0222232591,0.0203171103,0.0178083761,0.014183513,0.0117801884,0.0103867752,0.011001412,0.0105624063,0.0101577955,0.0334243713,0.0336042991,0.0348978862,0.0280171694,0.0265149029,0.0244167268,0.0233606078,0.0225572122,0.0201204922,0.0172195479,0.0164165873,0.0184298745,0.0244408131,0.029843753,0.0299148291,0.025996089
CONNECTICUT,0.0881135209,0.077336112,0.0831562427,0.0739726516,0.0610979362,0.0550661339,0.0561340233,0.0643206078,0.0677075404,0.0697014485,0.070442453,0.0655349377,0.0646546591,0.0615021573,0.062690288,0.0669596645,0.5907498816,0.4675776962,0.3848466715,0.3266867277,0.2991148674,0.2766164425,0.2706916803,0.2606985986,0.2390439267,0.2166547465,0.1927812991,0.1818539892,0.176612847,0.1724877412,0.1695567156,0.1665807647,0.2077673883,0.2448334376,0.2439732054,0.1993670066,0.1387705997,0.0773592167,0.0449165364,0.0334266494,0.0483377469,0.0740401175,0.0763801184,0.0738431945,0.0637750872,0.0697926991,0.0727124991,0.0750501853,0.0468518833,0.1035622497,0.1414688246,0.1972137818,0.2247770348,0.269240678,0.2816947881,0.3037580537,0.3205255427,0.3255756813,0.3527121084,0.3519381499,0.3686212874,0.3705292363,0.3869585427,0.385986105,0,8.965906e-4,0.016801859,0.0441320204,0.0945975543,0.1278024186,0.1514930948,0.1547380789,0.1603800353,0.1614101964,0.1621662635,0.1668318417,0.1678277801,0.1721633388,0.1749620848,0.1743138701,0,0.0089216046,0.0235636075,0.0352745534,0.0394484071,0.0366485725,0.0372289849,0.0355714834,0.0376527079,0.0380687939,0.0414220592,0.0374609455,0.035706668,0.0311778435,0.0315403594,0.031978742,0,8.15447e-5,1.099179e-4,1.296447e-4,6.22386e-5,5.05177e-5,4.3032e-5,3.71866e-5,3.40073e-5,2.75469e-5,2.21551e-5,0.0105925582,0.0141858449,0.0148403365,0.0042042827,5.946062e-4,0.0396696934,0.0521831091,0.0556762595,0.0570681363,0.0580624754,0.0571444646,0.0562196983,0.0553145869,0.0531493078,0.0518416006,0.0517067136,0.0514962871,0.051959763,0.0523175822,0.0537830115,0.0541173233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268476325,0.0446076556,0.0504034118,0.0661554773,0.0840688865,0.1000715554,0.101578162,0.0921347548,0.073169185,0.0626798683,0.0523668297,0.0604480961,0.0566560633,0.0551890652,0.0435922164,0.0444187388
DELAWARE,0.1634892534,0.1642488631,0.1618191683,0.115126182,0.0917367631,0.0738278688,0.0780227957,0.0789587729,0.0777205856,0.0636025035,0.0746023936,0.0900976549,0.1042247269,0.095077916,0.0585273924,0.0498980362,0.4137466895,0.379265344,0.3608476589,0.3377472137,0.3416333821,0.3379085,0.3350633406,0.2920830819,0.2516209554,0.2051237588,0.2210662769,0.1932064519,0.2533407541,0.2305168212,0.2357852295,0.192374249,0.2204178212,0.2663918366,0.2747751252,0.3246997579,0.3264565868,0.3772149542,0.3676337103,0.3947242684,0.4230257204,0.4202708839,0.4365838165,0.4034332657,0.420009635,0.4344725513,0.5339578395,0.5896288895,0,0,0,0,0,0,0,0,0,0,0.003500519,0.055794172,0.1073232993,0.1305224306,0.1197103365,0.0929631382,0,0,9.5796e-5,9.82232e-5,9.88472e-5,0,0,0.0030981584,0.0052928677,0.0244680105,0.0234908161,0.0214195276,0.0099264635,0.0088742222,0.0074474132,0,0,0,0,0,0,0,0,0,0,0,0,4.1905e-6,6.6499e-6,9.8476e-6,5.9457e-6,3.3956e-6,0,0,0,0,0,0,0,0.0135661547,0.0260771205,0.0723566458,0.0736375589,0.0800650197,0.03693256,0.0357650403,0.0251307797,0.0287708652,0.0207847534,0.0177290444,0.0242243591,0.0318414734,0.0396647406,0.0338906762,0.0401112701,0.0431805891,0.0374964316,0.0374971179,0.0406918885,0.0401329274,0.0115826481,-0.0011989637,-0.0131772204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1815614825,0.1723649119,0.1782378924,0.1904871499,0.2004096803,0.1771580007,0.1791688834,0.1743889746,0.1787663189,0.1766810797,0.1264267305,0.1158467902,0.0566532633,0.0659601344,0.0326122838,0.0463614263
DIST.OF COLUMBIA,0.0867356227,0.0972477634,0.0963328038,0.0963463103,0.0868337938,0.0867004864,0.0872143879,0.086008063,0.0946261983,0.1030148143,0.0995688589,0.0665747956,0.0426721992,0.0359511305,0.0334170845,0.034033284,0.5892903761,0.4930203537,0.4098227318,0.3403909737,0.3307324577,0.3337870664,0.3645323726,0.3383993193,0.259824034,0.1850381063,0.1224427253,0.1631516375,0.2087858968,0.2284944817,0.2375974793,0.2240094996,0.1813630762,0.2314892342,0.3016724116,0.3215177084,0.3311286341,0.3288647563,0.3231265109,0.3427772013,0.3611319948,0.3693369534,0.3978053195,0.3495476987,0.3186971297,0.2833743583,0.2938398806,0.272315895,0.0365748483,0.0315775219,0.013693281,0.0225446564,0.0414191947,0.0510149429,0.0639502718,0.0652550228,0.0750111644,0.0851084227,0.0993647192,0.1243794688,0.1175402375,0.1372604366,0.1347681198,0.1874118656,0,0.0241393106,0.0452031721,0.0692068754,0.0519047052,0.0419900024,0.019297855,0.0386464269,0.0545056842,0.0720688468,0.0742379611,0.060423358,0.0520932694,0.0429414545,0.0284298394,0.0135386226,0,0,0,0,0,0,0,0,0,0,0,0,0.0225619351,0.0226247474,0.0226724027,0,0,0,0,0,0,0,0,0,0,0,0,0.0380213681,0.0586798849,0.065710772,0.055857689,0.0546600934,0.0232120525,0.0368852162,0.0418525635,0.0282526196,0.019349011,0.01926185,0.0210451792,0.0201737369,0.0209114634,0.0214802434,0.0230238011,0.019805649,0.0172319348,0.0172799084,0.0173163056,0.0170498804,0,0,0,0,0,0,0,0,0.0251488723,0.054491181,0.0663157074,0.0699590432,0.0596309551,0.076034134,0.0660246558,0.0721978319,0.0828240242,0.0856406001,0.0914230363,0.1217408562,0.1386322034,0.1383808956,0.1208334226,0.1087402298,0.1088405886,0.109461432,0.1172409075,0.1081369812,0.1021065575,0.0903285767,0.1100765432,0.1247830275
FLORIDA,0.066446244,0.0868645436,0.0832315348,0.0816750537,0.0671671864,0.0661194141,0.0684209291,0.0741621714,0.0545362267,0.038635752,0.0284335689,0.038177982,0.0353162347,0.0339800809,0.0322496475,0.034945505,0.4836746567,0.3330588181,0.2580704953,0.2283130005,0.2285369359,0.2283736724,0.2145896672,0.1908371558,0.165310689,0.1530686133,0.1540582081,0.161438937,0.1716916563,0.1719060304,0.1722571379,0.1709807735,0.1690360822,0.2500836238,0.3045379477,0.325401196,0.3407477824,0.336545482,0.3407513699,0.34998474,0.361478713,0.358166303,0.3533443303,0.3459717091,0.3517948119,0.3454871171,0.3469284239,0.3410565899,0.0957141283,0.0623814105,0.0884358593,0.1357364406,0.1780435739,0.1951056798,0.2123108366,0.2150870593,0.2400391078,0.2616141112,0.288983472,0.2873530273,0.2911979268,0.3010057312,0.315106132,0.3298732577,0,0.0138208424,0.0219738596,0.0254900888,0.0173243326,0.0106555134,0.0091371393,0.007834218,0.0240266793,0.0430436982,0.0423798758,0.0259585399,0.0050402492,0.0045766471,0.0048426996,0.0058878909,0,0,0.0030875077,0.0028302381,0.0027722347,0.0034613308,0.007415311,0.0115055131,0.0070745778,0.0030816532,-8.680436e-4,0,0,0,0,0,0,0.0033722185,0.0040215482,0.0039821061,0.0017494039,0.0013701824,0.0017413,0.0021424755,0.0024276798,0.002362184,0.0018310941,0.0014503739,0.0025596439,0.0024168363,0.0021902814,6.730439e-4,0.0710887282,0.0882037538,0.0710921749,0.0488087685,0.045380547,0.0541393585,0.056279479,0.0601051607,0.0609475017,0.0593973105,0.0585136841,0.0573149241,0.0588603875,0.0580737853,0.0575551213,0.0564735438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1140401606,0.1622147892,0.1655490725,0.1477631077,0.1182780031,0.1042293667,0.0893539679,0.0883415063,0.0841588249,0.0806303745,0.0733238104,0.0823345068,0.0835390896,0.0825537716,0.0688705564,0.0601093953
