GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,31038.66846,32317.37351,32572.25034,32893.52881,33128.2976,33340.93876,33903.29313,35381.19634,35882.84248,36465.16753,36867.43878,36319.94781,35653.37578,36149.75789,35994.43991,36034.95095,35778,36266.19487
Alaska,40636.53708,41270.63446,41186.12407,42700.60313,43088.6368,43757.03469,44502.71467,44954.40818,46092.98049,46826.59835,48583.76643,51311.0404,50472.90131,51826.2054,53289.37171,53429.19212,51455,53626.48462
Arizona,33138.09366,34530.1419,34605.67107,35389.78931,34834.7968,34670.08608,35218.55136,36629.6988,38281.97741,39787.41818,39725.50451,38347.73137,36367.99179,35776.10518,36201.11175,36601.14806,36558,37354.46663
Arkansas,29115.36922,30232.79591,30554.15354,30894.8042,31608.4321,31708.23357,32565.72875,33430.74725,33655.36585,34128.08973,35046.75467,34919.51668,34221.13217,34112.53232,35032.04392,36712.34547,35985,37348.89995
California,39664.89544,41643.59212,42548.8489,44648.71444,43821.35706,43284.62062,44056.3246,45883.04155,46857.71895,48533.65686,48549.3201,47414.74684,45504.7142,46180.15221,47529.7034,49086.70023,48570,50405.45952
Colorado,40017.02421,42560.20731,43650.47789,45904.73357,45461.19282,44438.84312,43928.78458,43923.13639,45083.99998,46021.79306,46664.77266,45805.33818,42933.32712,42565.01506,44529.617,45758.03152,46824,49038.90452
Connecticut,52324.72634,55476.8768,57163.90978,60089.78769,61141.25993,59569.30738,58518.13842,59348.66621,60280.39804,62770.3175,65411.55093,66501.07199,65617.29923,66155.84344,65979.35767,65916.04009,64131,65655.05127
Delaware,39155.25137,42295.09506,44079.04085,46686.62696,49580.47724,49517.54098,48831.3301,48636.51818,47522.31092,48142.40527,47337.78687,45448.28169,45069.31397,44078.73853,45332.17003,44250.0098,43836,44360.4233
District of Columbia,51436.33346,54161.92047,54835.69274,58175.90348,59299.93098,59592.43089,59400.13475,63676.4261,64861.71145,66403.51838,68261.5096,67471.66374,65446.879,66362.7036,68212.92743,67632.81547,66540,68877.1538
Florida,36921.27644,38655.28844,39179.34813,40332.47262,40799.17936,40973.31218,41103.89071,42479.63381,43668.17432,45108.97843,45022.60993,43083.08497,40431.15721,41437.53297,41994.89599,41638.94338,40797,42348.42094
Georgia,35097.68242,37158.55887,37988.36312,38971.06183,39309.79068,39156.14271,39189.61357,39727.30572,40053.64197,40366.1195,40188.57481,38358.12376,37481.58621,37164.61592,38028.1237,37437.47243,37172,38478.80743
Hawaii,38338.2028,38304.18657,38813.92173,39667.80936,39507.02726,40090.08002,40739.03365,42168.50808,43309.09536,44307.85587,44936.90045,45171.8818,44695.36311,44481.85864,44443.57444,45087.22359,44639,45831.62351
Idaho,31121.75463,32468.83358,33013.96378,33845.06116,33588.00104,33429.04153,33371.72184,34646.5778,34752.32408,35949.11603,36201.9786,35463.89436,33878.50975,33823.01427,34516.54353,35209.80513,35720,36506.26008
Illinois,40298.26364,41772.98081,42362.50711,43829.40191,43885.00353,43802.67646,43591.67289,44078.72267,44396.26411,46188.33723,47394.87618,46902.0988,44631.27736,44528.82855,45236.21762,46293.69775,46646,48160.40466
Indiana,33981.9436,35841.47415,36285.94596,37172.2224,36904.90555,36762.84718,36641.22836,37083.89611,36647.43678,37696.37821,37809.3704,38011.27473,37108.17333,37462.60814,38547.62218,39359.88461,39148,39884.65223
