state,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Alabama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alaska,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arizona,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Arkansas,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
California,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colorado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Connecticut,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Delaware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
District of Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Idaho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indiana,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Iowa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kansas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kentucky,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Louisiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maine,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Massachusetts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Michigan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Minnesota,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Mississippi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Missouri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montana,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Nebraska,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Nevada,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
New Hampshire,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
New Jersey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New York,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Dakota,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Ohio,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Oklahoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oregon,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Pennsylvania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rhode Island,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Dakota,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Utah,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Virginia,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Washington,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
West Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wisconsin,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Wyoming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
