state,year,ranney4_control,state_id,policysociallib_est,policyeconlib_est,masssociallib_est,masseconlib_est,dempid_est,reppid_est,STATE,admin,ba,cc,other,pregnancy,prior,shortben,ssbg,tax,work,african_americans,caseload,fiscal_stability,hispanics,liberalism,pcpi_regional,unemployment,wpr,service,ba_dif,ba_dif_before,ba_dif_before2
Alabama,1998,0.5,AL,-1.1673533819421058,-1.189353092698365,-0.16673984057646998,-0.1147733389990514,0.39356981946061037,0.2957197932305466,ALABAMA,12774682,45241137.666666664,29296889.666666668,16237077.666666666,0,0,0,9867485.333333334,0,11595146.333333334,75.2,101772.33333333333,0.5,0.2,51.50401,31038.6684644741,5,0,40892036,4349101.666666664,NA,NA
Alaska,1998,0.5,AK,0.41441599763899173,0.6627535162388445,0.6141880848393823,-0.28382349660666173,0.22938547591563124,0.30462952492529827,ALASKA,6197488.666666667,54166354.333333336,13689729.666666666,1113476.6666666667,0,0,0,2922500,0,7777686.666666667,NA,36531.75,139.4,NA,51.11416,40636.5370755245,7.1,NA,21467416.333333332,32698938.000000004,NA,NA
Arizona,1998,0,AZ,-0.6601544206704316,-0.8430989348750825,0.4587370399984653,-0.37370830549683715,0.31298827409194624,0.37790947926539215,ARIZONA,31078080.333333332,148885873,27635712.666666668,54747110.333333336,0,0,0,19015112.333333332,0,10319389.666666666,7.6,166864.66666666666,15.8,33.8,6.514168,33138.0936600351,4.6,0,37955102.333333336,110930770.66666666,NA,NA
Arkansas,1998,0.5,AR,-1.5274020892224125,-1.2028499937798292,-0.1139279082149578,0.001031076612898534,0.4340607663125054,0.20507198155498296,ARKANSAS,3602404.6666666665,18548225.666666668,1885546,5428473.333333333,0,0,0,0,0,8785115.333333334,NA,57230.666666666664,3.2,NA,50.7109,29115.3692220991,5.2,NA,10670661.333333334,7877564.333333334,NA,NA
California,1998,0.5,CA,2.0807070329205524,1.4866824387752684,0.8810607522174714,-0.21701446979066624,0.3933093891098998,0.3107611005962641,CALIFORNIA,352467152.6666667,4103817797.3333335,407741822.3333333,756586473.6666666,0,0,0,61e6,0,219746516,19.7,2592546.5,1.8,36,47.59945,39664.8954404309,6.4,0,627488338.3333333,3476329459,NA,NA
Colorado,1998,0.5,CO,-0.11509586768376397,-0.6419510709821278,0.5760163849207117,-0.431147146445334,0.28296011659624304,0.3261754137495858,COLORADO,11815547,53911524.333333336,20159437.333333332,52972753,0,0,0,9948672.333333334,0,5145807,0,95858.33333333333,11.3,0,49.45401,40017.0242134498,3.5,NA,25305244.333333332,28606280.000000004,NA,NA
Connecticut,1998,0.5,CT,1.6843333079603484,1.3078771407958296,1.032558364023097,-0.05162065588231938,0.32578828089183504,0.23790969766290412,CONNECTICUT,39917395.666666664,267622908.66666666,94123273.66666667,21224951,0,0,0,17971258.333333332,0,12162578,30.2,159736.33333333334,5.4,35.2,54.94809,52324.7263423053,5,0,106285851.66666667,161337057,NA,NA
Delaware,1998,0.5,DE,-0.15219137233649022,0.8024193698142105,0.7916654604255143,-0.035357918072912116,0.37168647635978536,0.2666813672944011,DELAWARE,8466507.666666666,21426420.666666668,11414629,0,0,0,0,1076366,0,9402402,NA,23314.166666666668,22.2,NA,71.1916,39155.2513678703,4,NA,20817031,609389.6666666679,NA,NA
Florida,1998,0.5,FL,-0.51831117178979,-0.5488411548867858,0.5988776119207355,-0.175826557053824,0.37556228586156976,0.32994697528123346,FLORIDA,53932631,392585723.6666667,137202046.33333334,77688586.33333333,0,0,0,57700810.666666664,0,92563334.33333333,50.9,540666.5,8.4,19.9,58.30295,36921.2764402131,4.8,0,229765380.6666667,162820343,NA,NA
Georgia,1998,1,GA,-1.4288729385368468,-0.5661679356939855,0.19790069804150753,-0.2023311096522573,0.38476858027738203,0.2858400603908125,GEORGIA,27564468.666666668,224598680.66666666,48319166.333333336,94761843,0,0,0,25051608.666666668,0,25109713.333333332,79.3,338830,9.7,0.8,87.03794,35097.6824177659,4.6,0,73428879.66666667,151169801,NA,NA
Hawaii,1998,1,HI,1.7560652854118308,1.4235302360124933,0.8648834591738996,-0.2312085851867043,0.4046880407776386,0.2170738328655119,HAWAII,9463379.666666666,114329355.33333333,6432835.333333333,0,0,0,0,1e6,0,4097193.3333333335,NA,66374.83333333333,4.3,NA,90.79214,38338.2028018369,6.2,NA,10530028.666666666,103799326.66666666,NA,NA
Idaho,1998,0,ID,-0.3063550696618271,-0.9607616972028749,0.13697625976511504,-0.6146730462613369,0.22160509251684637,0.3966144929112293,IDAHO,2692801,4404169.333333333,3085228.6666666665,11673973.666666666,0,0,0,2194348.6666666665,0,848855.6666666666,NA,22173.333333333332,2.9,NA,9.06398,31121.7546278107,5.1,NA,3934084.333333333,470085,NA,NA
Illinois,1998,0.5,IL,0.4451818182582096,0.4693699697364667,0.7273666313071142,-0.2318334270190602,0.38715736126322126,0.26008502318520427,ILLINOIS,92478037.66666667,508788494.3333333,116180465.66666667,0,0,0,0,39001898.666666664,0,23804041.333333332,NA,642464.5,4.4,NA,33.97449,40298.2636362483,4.8,NA,139984507,368803987.3333333,NA,NA
Indiana,1998,0.5,IN,-0.5001062999981221,-0.4713255202545261,0.08846729484706646,-0.25207682990228836,0.31964584951412317,0.3235662351713315,INDIANA,43907448,103461131,71955367.33333333,53621780,0,0,0,10666666.666666666,0,12378640,40.3,140513.91666666666,23.2,5,54.22996,33981.943596158,3.5,0,84334007.33333333,19127123.66666667,NA,NA
Iowa,1998,0,IA,0.5482333775931558,0.2673848447317015,0.3957866186895841,-0.2820710482694102,0.3188160671808367,0.2907194236706945,IOWA,20695121.666666668,93432531.66666667,12931023.333333334,17237868,0,0,0,8005021.333333333,0,19501101.333333332,10.8,86310.58333333333,19.4,2.3,32.82248,34386.0179421571,3.1,0,32432124.666666664,61000407.00000001,NA,NA
Kansas,1998,0,KS,-0.5373232859342117,-0.9664234950407973,0.38834469116259523,-0.4794519328661734,0.28777005698151636,0.3871186550433767,KANSAS,8681580.333333334,59177274.333333336,7976610.666666667,78575615.33333333,0,0,0,10128737.333333334,0,5523526.333333333,26.4,65200.75,14.9,6,14.60732,35425.2688039722,3.8,0,13500137,45677137.333333336,NA,NA
Kentucky,1998,1,KY,-0.4386718432858487,-0.3277397113090523,-0.06914951574668386,-0.07127611477764292,0.445097684287692,0.3159533932379277,KENTUCKY,25876098.666666668,144133171.33333334,32681109.666666668,20060804.666666668,0,0,0,13305181.333333334,0,10685706,18.7,172003.25,8.6,0.2,68.17589,30814.6929704334,5.3,0,43366815.66666667,100766355.66666667,NA,NA
Louisiana,1998,0.5,LA,-0.8187979342195095,-1.2904389635786235,0.14634751926730874,0.01241490976916474,0.48267084350681894,0.26553718649483665,LOUISIANA,22293502.333333332,80653222,38888190.666666664,16001710.666666666,0,0,0,0,0,16686275.666666666,82.8,229096.58333333334,2.3,0.9,48.44025,30595.0524859548,6,0,55574466.33333333,25078755.66666667,NA,NA
Maine,1998,0.5,ME,0.16861534886015894,1.2585071193369173,0.6431951239968122,-0.07287854821843957,0.3056178024053716,0.2680911302126794,MAINE,11276068,84945953,10470132,5014460,0,0,0,2404292.6666666665,0,7418182.333333333,1.3,54800.833333333336,3.8,0.3,72.2569,34174.3732931981,5.1,0,17888314.333333332,67057638.66666667,NA,NA
Maryland,1998,1,MD,1.4962091494937413,0.9524398128793966,0.7923986894895627,0.015105667242549688,0.4704673660945645,0.26285178442214047,MARYLAND,45248759,188223023.33333334,56505260,2516107.6666666665,0,0,0,15273202,0,40187205.666666664,75.9,195286.75,9.5,1,87.40691,42389.16850118,5,0,96692465.66666666,91530557.66666669,NA,NA
Massachusetts,1998,0.5,MA,1.1737482698895327,1.6071240170712338,1.2205210212992537,0.11257102679959965,0.3328955290294646,0.16788669351643382,MASSACHUSETTS,92518957.33333333,424159456,164441459,75230728.33333333,0,0,0,41173716,0,27460989,19.5,229776.66666666666,5.5,27.4,71.94787,46288.9724261797,3.9,0,191902448,232257008,NA,NA
Michigan,1998,0.5,MI,0.4374644363891793,0.5263285499436091,0.5878522101928808,-0.22133086279222036,0.3549722538276095,0.26008050480575207,MICHIGAN,77834027.33333333,561265529.6666666,267446788,92306638.66666667,0,9614872.333333334,0,76375977.33333333,3766666.6666666665,114149154.66666667,45.6,510409.0833333333,14.5,0.9,31.03072,36684.2793978218,4.3,0,385362609.3333334,175902920.33333325,NA,NA
Minnesota,1998,0.5,MN,0.9919646102331079,1.130131262916236,0.6492086348078595,-0.2680296037358377,0.35224441385830074,0.2630250877974811,MINNESOTA,39010170.333333336,190324601.66666666,44680614.333333336,111067.3333333333,0,0,0,17845070.333333332,0,25638356.666666668,NA,168672.08333333334,20.9,NA,42.0368,38192.8236228849,3.3,NA,70318971,120005630.66666666,NA,NA
Mississippi,1998,0.5,MS,-1.9509041086633492,-1.7474614801414714,-0.019516581431913323,-0.017693448873130978,0.4073652142222612,0.3349537922947663,MISSISSIPPI,10439114.666666666,40694048,9686692.333333334,282118.6666666667,0,0,0,8676758,0,10870310.666666666,84.5,124247.75,10.6,0,51.47427,27641.4659709928,5.7,0,20557003,20137045,NA,NA
Missouri,1998,1,MO,-0.13531200324344309,-0.432384829860967,0.15268219845209138,-0.32471786997511326,0.3482488033532573,0.2634974225794517,MISSOURI,31549163.666666668,175124287,44393108,32444761,0,0,0,14470116,0,31697611.666666668,49.5,224880.41666666666,5.5,0.7,75.99073,34730.5444897984,4.3,0,76090719.66666667,99033567.33333333,NA,NA
Montana,1998,0,MT,0.4336675016795608,0.5772810035795362,0.10478117147533696,-0.359706021935149,0.3085664756092297,0.3155919813804775,MONTANA,6394694.333333333,26422620,7365190.333333333,2681968.6666666665,0,0,0,1208021.6666666667,0,3829655.3333333335,1.8,30213.916666666668,3.3,0.6,19.39743,29628.4948517721,5.3,0,11194845.666666666,15227774.333333334,NA,NA
Nebraska,1998,NA,NE,0.1288628183247576,-0.46381738174321074,0.3064924114401542,-0.4389963322575617,0.29870740405724777,0.4064345557595421,NEBRASKA,18515633.333333332,51525788.333333336,4332665.333333333,0,0,0,0,0,0,8690336.333333334,22,38966.083333333336,21.2,9.3,55.68382,35257.9678466813,2.5,0,13023001.666666668,38502786.66666667,NA,NA
Nevada,1998,0.5,NV,-0.2140883350130128,-1.1278787849163465,0.6797446159119216,-0.2800076120789495,0.3416722064103523,0.3290507288931527,NEVADA,11646320,30377336.666666668,1286590,16207212,724681.3333333334,0,0,396655.6666666667,0,1070106.6666666667,36.2,35444,17.9,13.9,62.95217,40180.6691204129,4.4,0,3081378,27295958.666666668,NA,NA
New Hampshire,1998,0.5,NH,0.2811813781622384,-0.5509779694852827,0.8169858574543322,-0.14252871525475042,0.22792785100217935,0.2815911836243374,NEW HAMPSHIRE,11621468.666666666,41039322.666666664,4582145.333333333,6793922,0,0,0,0,0,3121082.6666666665,2,23306,2.5,0.8,41.13037,41645.5132957287,3.3,0,7703228,33336094.666666664,NA,NA
New Jersey,1998,0,NJ,1.7747095452752175,1.4776600200528984,0.9279853173277138,0.0812129267541559,0.343371752740308,0.272488753130162,NEW JERSEY,87812e3,310732645,116621063.66666667,0,0,0,0,37009448.666666664,0,49658409.333333336,50.5,279515.4166666667,7,29.3,27.62356,48782.3242408667,5.3,0,166279473,144453172,NA,NA
New Mexico,1998,0.5,NM,-0.07469542885604404,0.057149959763411105,0.3901364820933243,-0.2517248128031329,0.39382710344371796,0.2935584916000881,NEW MEXICO,8496901.333333334,104835165.66666667,9962791.333333334,10823003,0,0,0,0,0,300662.6666666667,NA,99119.08333333333,2.7,NA,56.12767,29742.46184055,6.3,NA,10263454,94571711.66666667,NA,NA
New York,1998,0.5,NY,0.9317507451720851,2.276880390997267,1.0891431215113512,0.1626001137310484,0.3938855447314878,0.27563162286948756,NEW YORK,455977249.3333333,2228221834.6666665,219290132,411538409.6666667,0,0,0,211133333.33333334,0,164655284.33333334,34.1,1157502.8333333333,1.3,35.2,47.59946,45263.6966501761,6.4,0,383945416.3333334,1844276418.333333,NA,NA
North Carolina,1998,0.5,NC,-0.8894278512051932,-0.5315443918522433,0.22023252318097333,-0.12803663616015706,0.4029172660137814,0.321871501264956,NORTH CAROLINA,26307962.666666668,192833218.33333334,60398058.666666664,113791234.66666667,0,0,0,2909964.6666666665,0,9428868,49.2,269840.9166666667,7.8,1.8,70.56039,34879.4869364746,3.7,0,69826926.66666666,123006291.66666669,NA,NA
North Dakota,1998,0,ND,-0.13851997673813726,-1.17678954344054,0.14550907733427224,-0.4863590325801751,0.2697971102879733,0.3363617217008146,NORTH DAKOTA,5087158.333333333,16328670,654902.3333333334,1700936.6666666667,0,0,0,0,0,1028740.3333333334,NA,13070.5,12,NA,26.06683,30132.6037737461,2.7,NA,1683642.6666666667,14645027.333333334,NA,NA
Ohio,1998,0,OH,-0.43332914171287473,-9.627913640571201e-4,0.2948717664666355,-0.19416024708569837,0.35461636763397997,0.294030919558337,OHIO,75018949.33333333,544647646,58776987,136665769,0,0,0,72796826,0,11119856.666666666,42.2,538596.6666666666,6.2,3.6,23.14658,35497.5768448352,4.6,0,69896843.66666667,474750802.3333333,NA,NA
Oklahoma,1998,0.5,OK,-0.7364937698746815,-0.525572657464091,-0.2246138886150064,-0.4396039087047335,0.44860982746251865,0.33613900887189574,OKLAHOMA,9463626,74743045.66666667,47431387.333333336,22568399,0,0,0,14781722,0,22345857.333333332,25.6,99035,13.8,3.1,38.59254,30360.9619696026,4.1,0,69777244.66666667,4965801,NA,NA
Oregon,1998,0.5,OR,0.5959082979701252,1.2474499192488357,0.6506574541772341,-0.315461672335469,0.3646806523449602,0.31845993118295185,OREGON,34892974.333333336,181700398.66666666,20845584,521313.3333333333,0,0,0,0,0,51469965.333333336,8.6,80945.5,21,5.8,63.79908,36448.9807955571,5.7,0,72315549.33333334,109384849.33333331,NA,NA
Pennsylvania,1998,0,PA,0.24221832584454273,1.0040828361284895,0.34989511016162367,-0.026426484814439655,0.39214926689688384,0.33728170123952966,PENNSYLVANIA,65882158.333333336,379430413.6666667,66893742,172913454.33333334,0,0,0,17667842,0,45199635.666666664,NA,527214.3333333334,4.9,NA,32.16093,38630.6081515094,5.1,NA,112093377.66666666,267337036.00000003,NA,NA
Rhode Island,1998,0.5,RI,1.0973273080891972,2.030226058402236,0.9900583993205847,0.1242568790889344,0.32417742989984466,0.1575124173912149,RHODE ISLAND,15873261,94746411.66666667,14165171,6523833.333333333,0,0,0,729485.3333333334,0,4846427.333333333,NA,57428.583333333336,5.7,NA,69.21124,38333.4267671605,5.1,NA,19011598.333333332,75734813.33333334,NA,NA
South Carolina,1998,0.5,SC,-1.5705911623268667,-1.2828957230348996,0.26792026642615197,-0.11399225958904048,0.3513745384173534,0.34035461120834476,SOUTH CAROLINA,11935204,28797413.333333332,5766390,12556117.333333334,0,0,0,6664521.333333333,0,13962242,68.5,114708.83333333333,12.4,1.1,28.41767,31174.4987640858,4.6,0,19728632,9068781.333333332,NA,NA
South Dakota,1998,0,SD,-0.8118196245376802,-1.9424880944363412,-0.0033269625249386253,-0.5265429003270476,0.34333305705134987,0.41080980667386463,SOUTH DAKOTA,3180488.3333333335,12708002,1252971.6666666667,3147832.6666666665,0,0,0,2023990.3333333333,0,2487121.6666666665,0,15758.75,3.9,0,21.8348,32104.770143166,2.9,0,3740093.333333333,8967908.666666668,NA,NA
Tennessee,1998,0.5,TN,-0.7409322359938004,-0.470075302374281,0.001190364424364203,-0.17698953148755883,0.36319076370049985,0.3009827529626892,TENNESSEE,NA,NA,NA,NA,0,0,0,303300,0,NA,64.9,248310.16666666666,5,0.3,42.09233,33680.1342909666,5.3,0,NA,NA,NA,NA
Texas,1998,0.5,TX,-0.26832759989256916,-1.0745045143955303,0.22883132353152122,-0.4042423990596121,0.34437397314387747,0.31014600789642793,TEXAS,48694758.666666664,291400983.3333333,78135300.33333333,161897978.66666666,0,0,0,40936793,0,51894721.333333336,32.1,661974.9166666666,9.6,46.5,26.63436,34427.2009388312,5.3,0,130030021.66666666,161370961.66666666,NA,NA
Utah,1998,0,UT,-1.1804134428367503,-1.0251452184948084,-0.0020308186687011107,-0.3924122031812071,0.22817694396564492,0.42693274945282955,UTAH,8937574.666666666,52061285,7696363.666666667,66938.3333333333,0,0,0,2671474.3333333335,0,26848401,3.2,39096.25,4.8,12.9,17.93501,31020.9376761995,3.2,0,34544764.666666664,17516520.333333336,NA,NA
Vermont,1998,1,VT,0.849782474527385,1.4666964478749562,0.9881788096505059,-0.20335074849288237,0.28098951251582394,0.25875102897154595,VERMONT,7500888.666666667,NA,9850062,0,0,0,0,4432812.333333333,0,245811,0.8,24763.833333333332,4.6,0.2,87.80975,35309.6061814108,3.9,NA,10095873,NA,NA,NA
Virginia,1998,0.5,VA,-0.1579558677260945,-0.8163104277381484,0.46813350059948017,-0.10468676498262829,0.32643209336185697,0.31154667930888746,VIRGINIA,25879065,80321722.33333333,35796477.666666664,559,0,0,0,13057754,0,34622242,62,155249.41666666666,5,2.7,39.4134,39522.2821774595,3.8,0,70418719.66666666,9903002.666666672,NA,NA
